vtid	telepid
38	1
65	1
32	2
104	3
167	4
49	4
2	5
50	6
8	7
40	8
135	8
1	9
16	10
56	11
8	12
51	13
35	14
18	15
136	16
2	17
15	18
4	19
10	20
22	21
9	22
129	23
184	23
8	24
9	25
10	26
23	27
47	28
44	29
7	30
13	30
52	31
42	32
2	33
19	34
4	35
54	35
55	36
2	37
2	38
17	39
18	40
16	41
4	42
10	43
11	44
32	45
28	46
28	47
34	48
99	49
111	49
28	50
35	51
57	52
5	53
2	54
2	55
2	56
2	57
2	58
143	59
2	60
59	60
2	61
2	62
60	63
2	64
2	65
2	66
2	67
2	68
2	69
7	70
27	71
4	72
41	73
120	73
11	74
72	75
6	76
4	77
48	78
21	79
2	80
4	81
4	82
30	83
138	83
61	84
62	84
98	84
9	85
11	86
9	87
9	88
3	89
64	89
4	90
9	91
41	92
41	93
11	94
11	95
66	95
5	96
4	97
19	98
26	99
42	100
11	101
9	102
15	103
19	104
8	105
32	106
46	107
45	108
45	109
67	109
1	110
1	111
4	112
11	113
47	114
4	115
27	116
44	117
5	118
41	119
25	120
47	121
12	122
15	123
68	123
34	124
6	125
48	126
9	127
14	128
5	129
70	129
14	130
14	131
69	132
71	132
102	132
108	132
116	132
150	132
178	132
8	133
8	134
22	135
143	136
32	137
44	138
3	139
3	140
180	141
25	142
15	143
73	144
74	145
36	146
26	147
4	148
168	149
169	149
6	150
41	151
10	152
46	153
46	154
9	155
35	156
9	157
41	158
75	159
26	160
153	161
8	162
127	162
3	163
3	164
22	165
32	166
44	167
2	168
76	169
5	170
46	171
77	172
78	173
80	174
2	175
59	175
37	176
6	177
9	178
10	179
11	180
10	181
38	182
4	183
33	184
81	184
17	185
10	186
4	187
11	188
4	189
83	189
18	190
84	190
4	191
3	192
27	192
5	193
11	194
9	195
160	196
86	196
5	197
39	198
35	199
44	200
17	201
30	202
19	203
5	204
2	205
4	206
4	207
4	208
4	209
4	210
4	211
4	212
5	213
88	214
5	215
4	216
15	217
42	218
8	219
177	219
42	220
42	221
4	222
89	222
16	223
42	224
42	225
16	226
34	227
22	228
9	229
90	230
3	231
129	231
184	231
1	232
7	233
192	233
91	234
92	235
19	236
93	236
94	236
19	237
4	238
95	239
11	240
2	241
5	242
9	243
4	244
43	245
26	246
41	247
6	248
42	249
35	250
34	251
10	252
10	253
10	254
4	255
10	256
3	257
159	258
22	259
28	260
99	260
6	261
6	262
6	263
6	264
7	265
47	266
100	267
11	268
2	269
11	270
41	271
8	272
8	273
47	274
101	275
19	276
9	277
207	278
46	279
22	280
2	281
41	282
87	283
10	284
195	285
13	286
41	287
9	288
167	289
34	290
43	291
4	292
5	293
17	294
103	294
47	295
47	296
34	297
7	298
41	299
4	300
2	301
9	302
30	303
104	303
30	304
34	305
42	306
6	307
34	308
42	309
9	310
85	310
2	311
18	312
105	312
7	313
18	314
7	315
106	316
107	316
42	317
10	318
40	319
47	320
28	321
8	322
42	323
2	324
10	325
10	326
6	327
2	328
11	329
109	329
4	330
4	331
41	332
32	333
19	334
44	335
19	336
110	337
6	338
144	338
4	339
9	340
29	340
47	341
20	342
75	343
4	344
5	345
7	346
23	347
145	347
18	348
12	349
195	350
1	351
33	352
5	353
113	354
5	355
5	356
17	357
10	358
44	359
4	360
10	361
8	362
6	363
19	364
114	365
1	366
3	367
34	368
16	369
19	370
117	371
38	372
115	373
201	374
2	375
160	376
2	377
6	378
21	379
21	380
21	381
23	382
7	383
121	383
206	383
9	384
2	385
8	386
4	387
58	388
21	389
2	390
122	391
124	392
5	393
36	394
4	395
10	396
19	397
125	397
8	398
10	399
24	400
2	401
126	401
5	402
9	403
10	404
6	405
42	405
9	406
2	407
41	408
22	409
42	410
3	411
41	412
47	413
19	414
26	414
127	415
124	416
128	416
8	417
96	418
11	419
5	420
30	421
5	422
41	423
10	424
9	425
41	426
4	427
11	428
34	429
1	430
4	431
47	432
19	433
10	434
6	435
11	436
5	437
22	438
41	439
4	440
19	441
41	442
130	443
9	444
11	445
25	446
131	446
25	447
25	448
26	449
2	450
32	451
2	452
8	453
8	454
132	455
7	456
8	457
133	457
9	458
8	459
42	460
16	461
8	462
26	462
4	463
134	464
5	465
6	466
2	467
2	468
199	468
2	469
11	470
18	470
31	471
5	472
42	473
25	474
6	475
41	476
