telekid	nyersanyagid
1	4
2	54
3	60
4	44
4	54
5	44
7	44
8	27
8	60
9	60
10	61
12	1
13	54
14	85
15	86
16	90
18	21
19	54
20	46
21	1
21	46
22	44
23	44
26	44
26	54
27	44
28	6
29	27
32	44
32	54
33	44
36	44
37	54
38	1
39	44
42	31
43	69
45	21
46	21
47	8
48	8
49	8
50	12
51	44
52	44
54	44
55	44
56	21
57	44
58	69
59	60
60	44
61	44
61	61
62	45
63	12
64	69
66	1
74	58
75	89
82	9
83	21
86	50
87	44
87	60
88	44
88	58
88	88
89	1
90	1
91	1
92	1
93	1
94	58
94	60
95	12
95	60
96	54
97	1
97	54
98	1
100	6
101	4
103	14
103	17
104	44
108	44
109	54
111	79
113	44
113	54
114	44
115	44
116	76
117	18
118	24
118	44
120	71
121	54
122	54
123	69
124	54
125	54
126	54
127	44
127	54
128	44
128	54
129	54
130	54
131	54
132	44
132	54
133	54
134	54
135	60
137	1
137	69
138	69
139	60
140	24
140	44
141	21
142	44
143	44
144	22
145	44
145	54
146	54
148	44
149	44
150	84
151	44
152	44
153	54
154	54
155	44
156	54
157	54
158	44
159	45
160	6
163	1
163	58
164	27
164	60
165	54
166	1
167	44
168	54
169	24
170	24
174	44
174	54
176	44
176	54
178	1
179	44
179	54
180	54
181	44
181	54
182	44
182	54
183	54
184	54
185	44
185	54
186	54
190	60
191	12
195	1
196	54
197	9
199	46
200	1
201	69
203	69
204	54
205	44
206	44
207	21
207	69
208	8
210	36
211	91
211	95
212	44
212	54
213	44
213	54
214	44
214	54
215	54
216	44
221	69
222	76
223	26
224	44
225	44
225	60
226	31
226	58
228	54
228	68
229	54
229	68
230	11
231	11
232	10
233	44
234	54
235	44
235	54
236	1
236	44
239	69
240	56
241	47
242	4
243	44
243	54
244	44
245	1
245	44
246	21
247	44
248	60
250	58
250	60
251	1
252	44
253	44
254	44
255	93
256	12
258	54
258	58
259	54
260	1
260	44
260	54
261	44
261	54
262	84
264	35
264	44
265	48
266	63
267	84
272	54
273	21
275	3
275	61
276	10
277	41
278	44
280	44
281	44
284	54
285	54
286	44
287	4
288	75
289	4
290	4
291	54
292	44
293	54
294	6
294	88
295	44
295	54
296	54
297	44
297	54
298	6
298	60
299	44
302	27
302	60
303	49
304	44
305	64
305	90
306	27
307	60
308	1
310	44
311	44
312	1
313	22
314	44
317	69
318	44
318	54
319	54
320	44
320	54
321	54
322	54
323	46
324	54
324	58
325	1
325	44
326	1
327	44
327	54
328	44
328	54
329	44
329	54
330	41
331	54
332	44
332	68
333	44
334	44
335	44
336	44
338	64
338	77
342	44
343	54
343	60
344	54
344	60
348	21
350	21
351	21
352	44
353	54
354	27
354	60
356	44
357	44
358	54
359	44
360	60
361	44
361	60
362	44
363	12
364	60
365	54
366	46
368	44
368	54
369	21
369	69
370	58
370	60
371	44
372	31
372	60
373	30
373	64
374	61
379	45
380	24
380	44
383	92
387	44
388	44
391	54
394	44
396	61
397	54
398	6
398	60
399	17
399	29
400	21
401	21
402	21
403	21
404	21
405	45
406	45
407	69
408	44
409	44
410	27
410	60
412	44
413	44
413	54
414	44
415	21
415	44
416	77
417	64
417	90
423	54
424	44
424	54
425	1
426	44
427	60
428	44
430	44
433	28
434	54
435	54
436	54
437	44
437	54
438	44
438	54
439	54
440	44
440	54
449	4
450	54
451	60
452	1
455	44
459	4
460	44
462	46
463	44
464	31
464	60
466	44
471	68
471	69
472	1
473	44
473	63
479	12
480	1
482	67
483	67
484	20
484	69
485	44
486	60
487	44
487	60
488	44
488	54
489	1
490	1
491	44
492	44
492	54
493	54
494	54
494	60
495	46
497	21
498	69
500	54
501	75
502	46
503	11
503	92
504	11
505	44
506	44
507	21
508	21
511	54
513	54
514	54
516	1
518	1
519	44
520	21
521	69
522	44
523	4
524	44
525	21
526	21
527	1
528	44
528	54
530	1
531	31
536	44
537	54
538	49
539	12
540	1
541	1
541	44
542	1
542	44
543	1
543	44
550	30
550	64
555	92
556	92
557	30
557	64
559	44
560	44
562	44
563	1
563	54
564	69
565	44
565	54
566	54
567	54
568	75
570	1
571	44
572	44
573	60
574	27
577	44
578	54
579	44
579	54
580	54
581	54
582	54
583	54
584	1
584	54
585	54
586	28
586	60
587	6
587	61
588	54
589	54
592	54
593	44
595	44
599	44
599	54
600	44
601	44
602	44
603	69
607	44
610	88
612	44
614	44
617	4
618	54
619	54
620	54
621	54
622	77
623	54
624	54
625	1
625	61
626	54
627	44
628	46
629	16
629	17
630	44
631	54
632	44
633	44
634	27
635	44
636	44
637	44
638	44
638	54
639	44
639	54
642	54
642	58
644	44
644	60
645	1
645	44
646	44
647	44
648	1
648	44
649	44
650	44
652	54
653	44
653	68
654	79
655	54
656	54
657	44
657	54
659	79
661	30
661	64
662	86
663	21
664	44
664	54
666	88
667	44
668	71
668	76
669	44
669	54
670	54
671	1
672	1
672	58
674	41
675	44
676	44
677	69
678	38
679	44
680	1
682	11
684	44
685	22
686	69
687	44
688	70
689	44
690	69
693	65
693	90
696	90
697	3
703	44
703	54
704	54
704	68
705	54
706	54
711	54
712	54
713	46
713	88
714	54
715	54
716	54
717	55
718	76
719	11
719	51
720	92
721	54
722	74
723	4
724	19
725	79
726	44
727	87
728	45
729	6
730	60
731	60
733	11
734	44
734	54
736	54
737	44
737	54
738	1
738	54
739	46
740	54
741	60
741	88
743	24
743	76
745	52
747	4
748	4
749	54
750	21
751	1
752	86
753	1
754	20
755	20
756	54
757	3
758	44
759	60
761	1
762	21
763	1
765	12
766	64
766	90
768	31
768	60
769	6
771	2
771	31
772	40
773	24
773	44
773	54
774	44
774	54
775	69
776	44
779	77
780	44
781	60
782	44
784	69
785	69
786	69
787	44
788	44
789	54
790	44
790	54
791	44
791	54
792	4
795	54
796	54
797	54
798	54
800	44
801	44
802	60
803	1
806	58
809	4
811	27
812	1
813	42
814	42
815	42
816	44
817	54
818	54
819	61
820	54
821	22
822	12
823	27
823	60
824	69
825	21
827	21
