id	telepules	muvmod	allapot	fedoszint	fekuszint
1	Abasár	külfejtés	M	445	194
2	Abda	külfejtés	M	113	88
3	Abony	külfejtés	M	96	87
4	Ács	külfejtés	M	130	115
5	Ágasegyháza	külfejtés	M	109,5	106,5
7	Ajka	külfejtés	M	273	257
8	Albertirsa	külfejtés	M	138,3	129,8
9	Albertirsa	külfejtés	M	135,42	123,7
10	Aldebrő	külfejtés	M	127,9	115
12	Alsómocsolád	külfejtés	M	152	136
13	Alsónémedi	külfejtés	M	102,5	76,2
14	Alsópáhok	külfejtés	M	105,8	97,4
15	Alsórajk	külfejtés	M	146	142
16	Alsórajk	külfejtés	M	147,5	143
18	Alsótelekes	külfejtés	M	257	208
19	Alsózsolca	külfejtés	M	110	76,3
20	Alsózsolca	külfejtés	M	109,8	73,5
21	Alsózsolca	külfejtés	M	112,4	95
22	Anarcs	külfejtés	M	121,85	105
23	Anarcs	külfejtés	M	113,9	105,5
26	Áporka	külfejtés	M	101,2	88,8
27	Árpádhalom	külfejtés	M	89,2	82,2
28	Ártánd	külfejtés	M	103,4	63,2
29	Ásotthalom	külfejtés	M	114,76	111,5
32	Ásványráró	külfejtés	M	114,5	83,2
33	Atkár	külfejtés	M	165,8	140
36	Babosdöbréte	külfejtés	M	247	184
37	Babót	külfejtés	M	120	98,5
38	Baj	külfejtés	M	162	120,5
39	Baja	külfejtés	M	120	106
42	Bajcsa	külfejtés	M	162	135
43	Bajna	külfejtés	M	329	270
45	Bakonyjákó	külfejtés	M	409	339
46	Bakonykoppány	külfejtés	M	249	211
47	Bakonyoszlop	mélyművelés	M	370	110
48	Bakonyoszlop	mélyművelés	M	313	76,7
49	Bakonyszentlászló	külfejtés és mélyművelés	M	290	30
50	Bakonyszentlászló	külfejtés	M	236	175
51	Baktalórántháza	külfejtés	M	147	132
52	Baktalórántháza	külfejtés	M	151,23	132
54	Balástya	külfejtés	M	89,5	86,4
55	Balástya	külfejtés	M	89,5	77,5
56	Balatonalmádi	külfejtés	M	279	240
57	Balatonendréd	külfejtés	M	138	122
58	Balatonfüred	külfejtés	M	390	340
59	Balatonkeresztúr	külfejtés	M	106	102,4
60	Balatonlelle	külfejtés	M	148,7	127
61	Balatonrendes	külfejtés	M	159,8	110
62	Balatonrendes	külfejtés	M	220	160
63	Balatonszentgyörgy	külfejtés	M	150	107
64	Balatonszőlős	külfejtés	M	328	285
66	Balmazújváros	külfejtés	M	90,96	86,5
74	Bárdudvarnok	külfejtés	M	175,3	143
75	Bátaszék	külfejtés	M	192	119,5
82	Bazsi	külfejtés	M	360	246
83	Becskeháza	külfejtés	M	296,5	214
86	Bekecs	külfejtés	M	172,69	120
87	Békés	külfejtés	M	85,4	76,9
88	Békés	külfejtés	M	85,85	75,63
89	Békéscsaba	külfejtés	M	87,8	74,5
90	Békéscsaba	külfejtés	M	87,2	68,97
91	Békéscsaba	külfejtés	M	86,7	69
92	Békéscsaba	külfejtés	M	88,81	77
93	Békéscsaba	külfejtés	M	86,2	73
94	Békéscsaba	külfejtés	M	87,7	80,2
95	Békéscsaba	külfejtés	M	90,6	72,1
96	Bélavár	külfejtés	M	118	85
97	Beled	külfejtés	M	134,4	114
98	Beled	külfejtés	M	135,7	128,4
100	Belsősárd	külfejtés	M	167	151
101	Bercel	külfejtés	M	400	250
103	Beremend	külfejtés	M	119	100
104	Berettyóújfalu	külfejtés	M	94,4	89
108	Berhida	külfejtés	M	173	161
109	Berzence	külfejtés	M	117	102
111	Biharugra	mélyfúrás	M	-2151	-2375
113	Boconád	külfejtés	M	111,2	93,9
114	Bocskaikert	külfejtés	M	143,3	135
115	Bodmér	külfejtés	M	203,8	178,8
116	Bodrogkeresztúr	külfejtés	M	260	120
117	Bogács	külfejtés	M	245,3	209
118	Bogád	külfejtés	M	209,1	165
120	Bózsva	külfejtés	M	366,4	150
121	Bőny	külfejtés	M	125,3	115,15
122	Bősárkány	külfejtés	M	114	83
123	Budakalász	külfejtés	M	239	193
124	Budakalász	külfejtés	M	105	89,8
125	Bugyi	külfejtés	M	107,79	70,6
126	Bugyi	külfejtés	M	108,32	71,9
127	Bugyi	külfejtés	M	100,2	82,1
128	Bugyi	külfejtés	M	110,5	77,8
129	Bugyi	külfejtés	M	96,49	79,5
130	Bugyi	külfejtés	M	105	82,3
131	Bugyi	külfejtés	M	96,1	84,6
132	Bugyi	külfejtés	M	99,5	76,9
133	Bugyi	külfejtés	M	99,2	80,6
134	Bugyi	külfejtés	M	99,2	83,9
135	Buzsák	külfejtés	M	125	117
137	Bükkösd	külfejtés	M	255,65	165
138	Bükkösd	külfejtés	M	233	155
139	Ceglédbercel	külfejtés	M	174	138,5
140	Csabaszabadi	külfejtés	M	96,15	85
141	Csákberény	külfejtés	M	223	160
142	Csákberény	külfejtés	M	174	156
143	Csákvár	külfejtés	M	204	177,5
144	Csákvár	külfejtés	M	245	177,4
145	Csákvár	külfejtés	M	137,5	127
146	Csákvár	külfejtés	M	175	155
148	Csanádpalota	külfejtés	M	96,5	90
149	Császár	külfejtés	M	208,1	192
150	Csávoly	külfejtés	M	136	128,51
151	Csávoly	külfejtés	M	162,28	152
152	Csécse	külfejtés	M	174,5	158
153	Csém	külfejtés	M	131,4	121,3
154	Csempeszkopács	külfejtés	M	178,5	171
155	Csengele	külfejtés	M	94,7	92,5
156	Csepreg	külfejtés	M	183	172
157	Csepreg	külfejtés	M	181	171
158	Cserkeszőlő	külfejtés	M	89,8	85,5
159	Cserkút	külfejtés	M	232	182
160	Csesztreg	külfejtés	M	186	170
163	Csongrád	külfejtés	M	84,2	77,9
164	Csongrád	külfejtés	M	91,32	82,4
165	Csór	külfejtés	M	109	105
166	Csorna	külfejtés	M	118,4	114,5
