id	kezdeseve	vegzeseve
1	2002	2006
2	2001	2005
3	2004	2008
4	2003	2007
5	2005	2009
6	2000	2004
7	1999	2003
8	1998	2002
9	1997	2001
10	1996	2000
11	1995	1999
12	1994	1998
13	1993	1997
14	1992	1996
15	1991	1995
16	1990	1994
17	1989	1993
18	1988	1992
19	1988	1992
20	1986	1990
21	1986	1990
22	1985	1989
23	1985	1989
24	1983	1987
25	1983	1987
26	1984	1988
27	1984	1988
28	1982	1986
29	1982	1986
30	1981	1985
31	1981	1985
32	1980	1984
33	1980	1984
34	1979	1983
35	1979	1983
36	1978	1982
37	1978	1982
38	1977	1981
39	1977	1981
40	1977	1981
41	1975	1979
42	1974	1978
43	1974	1978
44	1974	1978
45	1973	1977
46	1973	1977
47	1972	1976
48	1972	1976
49	1971	1975
50	1971	1975
51	1970	1974
52	1969	1973
53	1969	1973
54	1968	1972
55	1968	1972
56	1967	1971
57	1967	1971
58	1966	1970
59	1965	1969
60	1964	1968
61	1964	1968
62	1963	1967
63	1962	1966
64	1961	1965
65	1960	1964
66	1959	1963
67	1958	1962
68	1957	1961
69	1957	1961
70	1955	1959
71	1954	1958
72	1953	1957
73	1952	1956
74	1951	1955
75	1950	1954
76	1949	1953
77	1948	1952
78	1947	1951
79	1946	1950
80	1945	1949
81	1944	1948
82	1943	1947
83	1942	1946
84	2006	2010
85	1994	1998
86	1989	1993
87	1976	1980
88	1976	1980
89	1961	1965
90	1961	1965
91	1958	1962
92	2010	2015
93	2009	2014
94	2007	2012
