szemaz	fognev
1	esszéíró
1	kritikus
1	színháztörténész
1	kultúrtörténész
2	író
2	kritikus
2	műfordító
3	író
3	költő
3	kritikus
4	költő
4	irodalomtörténész
5	irodalomtörténész
5	egyetemi tanár
6	író
6	költő
6	műfordító
7	író
7	műfordító
8	költő
9	irodalomtörténész
9	kritikus
9	szerkesztő
10	irodalomtörténész
10	kritikus
11	kritikus
11	esztéta
12	író
13	költő
13	irodalomtörténész
14	irodalomtörténész
14	kritikus
15	író
15	kritikus
15	költő
16	költő
16	műfordító
17	író
17	költő
18	költő
18	zenekritikus
19	költő
20	író
20	költő
20	műfordító
21	irodalomtörténész
22	irodalomtörténész
22	kritikus
22	esztéta
22	egyetemi tanár
23	író
24	prózaíró
24	szerkesztő
25	költő
25	szerkesztő
26	író
26	dramaturg
27	író
28	író
29	író
29	műfordító
30	író
30	költő
31	költő
31	újságíró
32	kritikus
32	szerkesztő
32	prózaíró
33	író
34	irodalomtörténész
34	kritikus
35	író
36	író
36	költő
36	kritikus
37	író
37	költő
37	műfordító
38	költő
38	műfordító
38	grafikus
39	műfordító
39	szerkesztő
40	író
41	író
42	irodalomtörténész
43	író
43	műfordító
44	színháztörténész
44	esztéta
44	egyetemi tanár
45	költő
45	műfordító
46	irodalomtörténész
47	író
47	újságíró
47	műfordító
48	író
49	író
49	műfordító
50	költő
51	irodalomtörténész
51	egyetemi tanár
52	költő
52	műfordító
53	prózaíró
53	műfordító
54	író
54	költő
55	író
55	költő
55	politikus
56	kritikus
56	irodalomtörténész
56	esszéista
56	műfordító
56	egyetemi tanár
57	irodalomtörténész
57	műfordító
58	költő
59	író
59	dramaturg
60	gyermekíró
61	kritikus
61	dramaturg
62	író
63	író
64	író
64	publicista
65	irodalomtörténész
65	kritikus
66	író
66	költő
67	költő
67	író
68	író
68	költő
69	költő
70	író
70	költő
71	irodalomtörténész
71	kritikus
72	író
73	író
74	prózaíró
74	költő
74	szerkesztő
75	író
75	műfordító
76	irodalomtörténész
76	baltista
76	műfordító
76	kritikus
76	szerkesztő
77	irodalomtörténész
77	író
77	költő
77	egyetemi tanár
78	író
78	mesekutató
78	szerkesztő
79	újságíró
79	író
80	író
80	újságíró
80	műfordító
81	író
81	műfordító
81	szerkesztő
82	költő
82	színműíró
82	egyetemi tanár
83	író
83	drámaíró
83	publicista
84	író
84	költő
85	költő
85	műfordító
86	irodalomtörténész
87	író
87	szociográfus
88	író
88	szociográfus
89	író
89	költő
90	költő
90	dramaturg
91	író
92	író
93	költő
93	műfordító
94	költő
95	író
95	költő
95	újságíró
96	író
96	újságíró
97	prózaíró
98	költő
98	író
98	műfordító
99	költő
99	műfordító
100	író
100	költő
101	író
101	költő
102	költő
102	műfordító
103	költő
103	műfordító
103	szerkesztő
104	költő
104	műfordító
105	író
105	költő
106	író
107	irodalomtörténész
108	író
108	kritikus
108	képzőművész
109	kritikus
110	költő
110	újságíró
111	irodalomtörténész
112	irodalomtörténész
112	kritikus
112	egyetemi tanár
113	író
114	író
115	író
115	műfordító
115	irodalomtörténész
116	író
116	költő
116	műfordító
117	író
117	költő
117	újságíró
118	író
118	költő
119	író
120	író
121	író
121	könyvtáros
121	teológus
122	kritikus
122	szerkesztő
123	irodalomtörténész
124	költő
124	műfordító
125	irodalomtörténész
125	kritikus
126	író
126	újságíró
127	író
127	költő
127	dramaturg
128	költő
128	prózaíró
128	szociográfus
129	író
129	újságíró
130	író
130	költő
131	irodalomtörténész
131	kritikus
131	író
132	költő
132	író
133	író
134	író
135	drámaíró
136	irodalomtörténész
136	kritikus
136	műfordító
137	irodalomtörténész
138	szerkesztő
139	író
140	író
140	költő
140	műfordító
141	költő
141	író
141	újságíró
142	prózaíró
143	író
144	író
145	irodalomtörténész
145	kritikus
145	klasszika-filológus
145	egyetemi tanár
146	költő
146	esszéista
147	újságíró
147	kritikus
148	költő
148	író
148	műfordító
148	szerkesztő
149	költő
149	szerkesztő
150	műfordító
150	szerkesztő
151	költő
151	gyerekíró
152	író
152	újságíró
153	író
154	író
154	újságíró
155	író
156	író
156	publicista
157	gazdatiszt
157	író
158	irodalomtörténész
159	irodalomtörténész
159	író
159	újságíró
160	író
160	költő
160	műfordító
160	irodalomszervező
161	irodalomtörténész
162	költő
162	író
163	író
163	költő
163	kritikus
164	író
164	műfordító
165	író
165	költő
165	lapszerkesztő
166	író
166	költő
166	műfordító
167	író
167	műfordító
168	író
168	költő
169	irodalomtörténész
169	esztéta
169	műfordító
170	író
170	újságíró
171	író
171	esszéista
172	író
172	műfordító
172	drámaíró
173	író
174	irodalomtörténész
174	kritikus
175	író
175	műfordító
175	pedagógus
176	szerkesztő
177	költő
177	műfordító
178	író
178	újságíró
179	író
179	költő
179	újságíró
180	író
181	író
181	dramaturg
182	író
183	író
183	politikus
184	költő
184	műfordító
185	író
185	dramaturg
185	műfordító
186	író
187	író
187	publicista
187	irodalomtörténész
188	író
188	költő
188	műfordító
189	költő
189	műfordító
189	kritikus
190	író
190	újságíró
190	műfordító
190	esszéista
191	ifjúsági író
191	költő
192	író
192	költő
193	egyetemi tanár
193	műfordító
193	irodalomtörténész
194	költő
194	műfordító
195	író
195	újságíró
196	író
196	költő
196	műfordító
197	író
198	író
198	újságíró
199	író
199	újságíró
200	író
201	író
202	író
202	műfordító
203	író
203	költő
203	műfordító
204	irodalomtörténész
204	egyetemi tanár
205	költő
205	prózaíró
206	író
207	irodalomtörténész
208	költő
208	orvos
209	műfordító
210	író
211	író
211	költő
211	dramaturg
212	filmesztéta
212	író
212	műfordító
213	író
213	költő
214	költő
214	színműíró
215	költő
216	író
216	műfordító
217	író
218	költő
218	újságíró
218	könyvtáros
219	író
219	költő
219	újságíró
220	író
220	publicista
221	író
221	költő
222	író
222	költő
222	műfordító
223	költő
223	műfordító
224	költő
224	műfordító
225	író
225	újságíró
226	író
226	forgatókönyvíró
226	lapszerkesztő
227	író
228	költő
228	műfordító
229	író
229	költő
229	újságíró
230	költő
230	író
231	író
231	főiskolai tanár
232	író
232	kritikus
233	író
233	közgazdász
234	költő
234	esszéíró
234	szerkesztő
235	költő
235	nyomdász
236	író
236	rendező
237	író
237	műfordító
238	költő
239	irodalomtörténész
239	egyetemi tanár
240	író
240	kritikus
240	műfordító
240	könyvkiadó
241	kritikus
241	irodalomtörténész
242	irodalomtörténész
243	író
243	költő
244	költő
244	műfordító
245	költő
245	műfordító
246	költő
246	kritikus
247	író
248	író
248	költő
249	irodalomtörténész
250	író
250	költő
250	műfordító
251	szerkesztő
252	költő
252	műfordító
253	költő
253	műfordító
254	költő
254	műfordító
255	író
256	kritikus
256	szerkesztő
257	költő
257	lapszerkesztő
258	irodalomtörténész
259	író
259	költő
259	műfordító
260	műfordító
261	költő
261	író
262	költő
262	könyvtáros
263	költő
263	műfordító
264	író
264	dramaturg
265	író
266	költő
266	műfordító
267	író
268	író
269	irodalomtörténész
269	kritikus
270	költő
270	műfordító
271	író
272	író
272	műfordító
272	esszéista
273	író
273	újságíró
274	irodalomtörténész
274	kritikus
274	író
274	műfordító
274	egyetemi tanár
275	író
275	költő
275	műfordító
275	kiadói szerkesztő
276	író
277	költő
277	műfordító
278	író
278	dramaturg
279	író
279	költő
280	drámaíró
281	költő
281	műfordító
281	kritikus
282	költő
282	író
282	esszéista
283	költő
284	költő
285	irodalomtörténész
285	egyetemi tanár
286	költő
286	műfordító
287	költő
288	irodalomtörténész
288	kritikus
288	író
288	költő
289	író
289	szerkesztő
289	kritikus
290	író
291	író
292	író
292	műfordító
293	költő
293	műfordító
294	költő
294	író
294	műfordító
295	költő
296	kritikus
296	irodalomtörténész
297	pedagógus
298	író
298	költő
299	költő
299	műfordító
300	drámaíró
300	rendező
301	író
301	költő
302	irodalomtörténész
302	kritikus
303	irodalomtörténész
304	költő
305	kritikus
305	irodalomtörténész
305	esztéta
306	gyermek- és prózaíró
307	író
307	költő
307	műfordító
308	író
308	színműíró
309	irodalomtörténész
309	kritikus
310	költő
310	műfordító
310	egyetemi tanár
311	író
311	kritikus
311	műfordító
312	író
312	műfordító
313	költő
313	író
314	költő
314	író
315	író
316	író
316	költő
317	költő
317	műfordító
318	műfordító
319	író
319	dramaturg
320	író
321	műfordító
322	író
322	műfordító
323	költő
324	költő
324	műfordító
324	történész
325	irodalomtörténész
325	kritikus
326	író
327	költő
328	költő
328	műfordító
328	szerkesztő
329	író
329	költő
330	irodalomtudós
331	irodalomtörténész
332	költő
332	író
333	műfordító
334	író
334	szerkesztő
335	író
335	festőművész
336	költő
336	író
336	műfordító
337	költő
338	költő
338	előadóművész
339	író
339	költő
339	műfordító
340	író
341	költő
341	regényíró
342	irodalomkritikus
343	szerkesztő
344	költő
344	műfordító
345	költő
345	műfordító
346	költő
346	író
346	műfordító
347	író
348	költő
348	műfordító
348	esszéíró
349	író
350	újságíró
350	szociográfus
351	író
351	kritikus
352	író
352	költő
353	író
353	műfordító
354	költő
355	irodalomtörténész
355	kritikus
356	műfordító
356	szerkesztő
357	író
358	író
359	író
359	műfordító
360	műfordító
361	író
362	író
363	költő
363	műfordító
363	művészettörténész
364	gyermekíró
364	grafikus
365	irodalomtörténész
