azon	szemaz	ev
1	1	2016
2	2	1973
3	3	1991
4	4	1997
5	5	1987
6	6	1980
7	6	1969
8	7	1996
9	8	2013
10	9	2008
11	10	1984
12	11	1977
13	11	1967
14	12	2005
15	13	1999
16	14	1997
17	15	1978
18	16	1954
19	17	1985
20	18	1952
21	19	2012
22	20	1989
23	21	2015
24	22	1989
25	23	1956
26	24	2010
27	25	2011
28	26	1987
29	26	1977
30	27	1975
31	28	2012
32	29	1998
33	30	2000
34	31	1996
35	32	2009
36	33	2008
37	34	2001
38	35	1953
39	36	1969
40	36	1954
41	37	1976
42	38	1984
43	39	2006
44	40	1962
45	41	2005
46	42	1975
47	43	2007
48	44	1986
49	45	1975
50	46	2011
51	47	1999
52	48	1953
53	48	1951
54	49	2000
55	50	1992
56	51	1975
57	52	1986
58	52	1970
59	53	2010
60	54	1990
61	55	1968
62	56	2016
63	57	2001
64	58	1965
65	59	1984
66	60	2011
67	61	1983
68	62	1959
69	63	2007
70	64	1975
71	64	1971
72	64	1966
73	65	2004
74	66	1982
75	67	2011
76	68	1958
77	69	1966
78	70	1993
79	71	1976
80	72	1986
81	73	2007
82	74	2010
83	75	2004
84	76	2006
85	77	1960
86	78	2006
87	79	1970
88	80	1981
89	81	1994
90	82	2002
91	83	2007
92	84	2012
93	85	1973
94	86	2015
95	87	1975
96	88	1992
97	89	1973
98	89	1964
99	89	1954
100	90	1980
101	90	1965
102	91	1998
103	92	1978
104	93	2009
105	94	2003
106	95	1958
107	96	1965
108	96	1955
109	96	1951
110	97	2010
111	98	1990
112	99	2006
113	100	2015
114	101	1970
115	101	1954
116	102	1972
117	102	1957
118	103	2006
119	104	1965
120	105	1987
121	105	1977
122	106	1980
123	106	1969
124	107	1999
125	108	1975
126	109	1950
127	110	1996
128	111	2000
129	112	1982
130	112	1954
131	113	1953
132	114	1953
133	115	1983
134	116	1952
135	116	1950
136	117	1998
137	118	1996
138	119	1961
139	120	1981
140	121	1956
141	122	2007
142	123	2005
143	124	1952
144	124	1950
145	125	1959
146	125	1956
147	126	1999
148	127	1976
149	128	2010
150	129	1954
151	129	1952
152	130	1991
153	131	1980
154	132	2011
155	133	2007
156	134	2004
157	135	2009
158	136	1974
159	137	2011
160	138	2004
161	139	1952
162	140	1952
163	141	1959
164	141	1956
165	142	2010
166	143	1986
167	144	1952
168	145	1967
169	146	2016
170	147	1969
171	148	1993
172	149	2016
173	150	2008
174	151	2008
175	152	1950
176	153	1966
177	154	1958
178	155	1963
179	156	1973
180	156	1963
181	156	1953
182	157	1960
183	158	2013
184	159	1973
185	160	2010
186	161	1985
187	162	2015
188	163	1995
189	164	2000
190	165	2001
191	166	1981
192	166	1973
193	166	1956
194	167	2001
195	168	1970
196	168	1958
197	169	1996
198	170	1954
199	170	1950
200	171	1962
201	171	1953
202	172	2006
203	173	1962
204	174	1976
205	175	1954
206	176	2004
207	177	2011
208	178	1953
209	179	1994
210	180	1962
211	181	1962
212	182	2015
213	183	1976
214	183	1969
215	183	1962
216	184	1999
217	185	1951
218	186	1976
219	186	1967
220	187	1983
221	188	2001
222	189	1979
223	189	1963
224	189	1959
225	190	1953
226	191	1978
227	192	2011
228	193	2008
229	194	1967
230	194	1956
231	195	1959
232	196	1987
233	196	1977
234	197	1959
235	197	1952
236	198	1953
237	199	1971
238	200	1988
239	201	1971
240	201	1960
241	201	1957
242	202	1983
243	203	1980
244	204	1987
245	205	2006
246	206	1990
247	207	1988
248	208	1999
249	209	2013
250	210	2004
251	211	1954
252	212	1981
253	213	2005
254	214	1980
255	215	2014
256	216	2003
257	217	2011
258	218	1992
259	219	1970
260	219	1958
261	219	1956
262	220	1968
263	221	1982
264	222	1966
265	223	1970
266	224	2008
267	225	1989
268	226	1970
269	227	1992
270	228	1993
271	229	1971
272	230	2002
273	231	1975
274	231	1954
275	231	1951
276	232	1960
277	233	1976
278	234	2002
279	235	1997
280	236	1998
281	237	1975
282	237	1965
283	237	1955
284	238	2012
285	239	1972
286	240	1978
287	240	1962
288	241	1983
289	242	1965
290	243	1950
291	244	2002
292	245	2008
293	246	1982
294	247	1977
295	248	1955
296	249	2014
297	250	1973
298	251	2003
299	252	2002
300	253	1979
301	253	1970
302	254	1963
303	254	1954
304	255	1970
305	256	1974
306	257	1950
307	258	2012
308	259	2001
309	260	2009
310	261	1968
311	262	1975
312	263	1987
313	263	1971
314	264	1959
315	265	2003
316	266	1972
317	266	1963
318	267	1951
319	268	1965
320	269	1998
321	270	1994
322	271	1979
323	272	2005
324	273	1978
325	274	1950
326	275	1986
327	276	1974
328	276	1954
329	276	1950
330	277	1981
331	278	1955
332	279	1992
333	280	2006
334	281	2001
335	282	1997
336	283	2002
337	284	2012
338	285	1978
339	286	1974
340	286	1956
341	286	1952
342	286	1950
343	287	2003
344	288	1968
345	289	2006
346	290	1984
347	290	1972
348	291	2000
349	292	1989
350	293	1958
351	293	1954
352	293	1951
353	294	1997
354	295	1961
355	295	1950
356	296	1988
357	297	1988
358	298	1992
359	298	1975
360	299	1999
361	299	1979
362	300	2010
363	301	1975
364	302	1984
365	303	2008
366	304	2012
367	305	1961
368	306	2009
369	307	1982
370	308	1987
371	309	1979
372	310	2002
373	311	1975
374	311	1964
375	312	1999
376	312	1994
377	313	2008
378	314	1994
379	315	2014
380	316	1995
381	317	1972
382	317	1955
383	318	2011
384	319	1989
385	320	2006
386	321	1996
387	322	1994
388	323	1996
389	324	1984
390	325	1973
391	326	1987
392	327	2012
393	328	1950
394	329	1993
395	330	2006
396	331	2009
397	332	2013
398	333	2007
399	334	2007
400	335	2011
401	336	2000
402	337	1978
403	337	1963
404	338	2001
405	339	1983
406	340	1993
407	340	1976
408	341	2016
409	342	2003
410	343	2005
411	344	1972
412	344	1950
413	345	2010
414	346	1991
415	347	2005
416	348	1972
417	349	1974
418	350	1980
419	351	1981
420	352	1957
421	353	1983
422	354	2009
423	355	1993
424	356	2010
425	357	1956
426	357	1952
427	358	2004
428	359	2008
429	360	1964
430	360	1955
431	361	1950
432	362	1969
433	363	2001
