az	nev
1	Ablonczy László Ferenc
2	Abody Béla
3	Ács Margit
4	Aczél Géza
5	Agárdi Péter
6	Ágh István
7	Albert Gábor
8	Albert Zsuzsa
9	Alexa Károly
10	Alföldy Jenő
11	Almási Miklós
12	Ambrus Lajos
13	András Sándor
14	Angyalosi Gergely
15	Apáti Miklós
16	Áprily Lajos
17	Asperján György
18	Asztalos Sándor
19	Báger Gusztáv
20	Baka István
21	Bakonyi István
22	Balassa Péter
23	Balázs Anna
24	Balázs Attila
25	Balázs Imre József
26	Balázs József
27	Bálint Ágnes
28	Bálint Péter
29	Bálint Tibor
30	Balla D. Károly
31	Balla Zsófia
32	Bán Zoltán András
33	Bán Zsófia
34	Bányai János
35	Barabás Tibor
36	Bárány Tamás
37	Baranyi Ferenc
38	Bari Károly
39	Barna Imre
40	Barsi Dénes
41	Bartis Attila
42	Bata Imre
43	Báthori Csaba
44	Bécsy Tamás
45	Bede Anna
46	Bednanics Gábor
47	Beke György
48	Békeffi István
49	Békés Pál
50	Békési Gyula
51	Béládi Miklós
52	Bella István
53	Benedek Szabolcs
54	Beney Zsuzsa
55	Benjámin László
56	Bényei Tamás
57	Benyhe János
58	Berda József
59	Bereményi Géza
60	Berg Judit
61	Berkes Erzsébet
62	Berkesi András
63	Berkovits György
64	Bertha Bulcsu
65	Bertha Zoltán
66	Bertók László
67	Beszédes István
68	Bihari Klára
69	Bihari Sándor
70	Bisztray Ádám
71	Bodnár György
72	Bodor Ádám
73	Bodor Béla
74	Bogdán László
75	Bognár Róbert
76	Bojtár Endre
77	Bóka László
78	Boldizsár Ildikó
79	Boldizsár Iván
80	Bor Ambrus
81	Borbás Mária
82	Borbély Szilárd
83	Böszörményi Gyula
84	Böszörményi Zoltán
85	Buda Ferenc
86	Cs. Nagy Ibolya
87	Csák Gyula
88	Csalog Zsolt
89	Csanádi Imre
90	Csanády János
91	Csaplár Vilmos
92	Császár István
93	Csehy Zoltán
94	Cselényi László
95	Csepeli Szabó Béla
96	Cseres Tibor
97	Cserna-Szabó András
98	Csiki László
99	Csokits János
100	Csontos János
101	Csoóri Sándor
102	Csorba Győző
103	Csordás Gábor
104	Csuka Zoltán
105	Csukás István
106	Csurka István
107	Csűrös Miklós
108	Czakó Gábor
109	Czibor János
110	Czigány György
111	Czigány Lóránt
112	Czine Mihály
113	D. Szabó László
114	Dallos Sándor
115	Dániel Anna
116	Darázs Endre
117	Darvasi László
118	Deák László
119	Dékány András
120	Dénes Zsófia
121	Dér Endre
122	Dérczy Péter
123	Deréky Pál
124	Devecseri Gábor
125	Diószegi András
126	Dippold Pál
127	Dobai Péter
128	Dobozi Eszter
129	Dobozy Imre
130	Döbrentei Kornél
131	Domokos Mátyás
132	Domonkos István
133	Dragomán György
134	Duba Gyula
135	Egressy Zoltán
136	Elbert János
137	Elek Tibor
138	Elmer István
139	Enczi Endre
140	Eörsi István
141	Erdős László
142	Erdős Virág
143	Esterházy Péter
144	Fábián Zoltán
145	Falus Róbert
146	Falusi Márton
147	Faragó Vilmos
148	Farkas Árpád
149	Farkas Wellmann Endre
150	Fázsy Anikó
151	Fecske Csaba
152	Fehér Klára
153	Féja Géza
154	Fejér István
155	Fejes Endre
156	Fekete Gyula
157	Fekete István
158	Fekete J. József
159	Fekete Sándor
160	Fekete Vince
161	Fenyő István
162	Fenyvesi Ottó
163	Ferdinandy György
164	Ferencz Győző
165	Ferenczes István
166	Fodor András
167	Fodor Sándor
168	Földeák János
169	Földényi F. László
170	Földes Mihály
171	Földes Péter
172	Forgách András
173	Fülöp János
174	Fülöp László
175	Füsi József
176	Füzi László
177	G. István László
