id	megnevezes	kezdet	veg
1	Soyuz TMA-20M	2016.03.19	2016.09.06
2	STS-61-A	1985.10.30	1985.11.06
3	Skylab 4	1973.11.16	1974.02.08
4	Soyuz TMA-1	2002.10.30	2003.05.04
5	Apollo 13	1970.04.11	1970.04.17
6	STS-53	1992.12.02	1992.12.09
7	STS-51-D	1985.04.12	1985.04.19
8	Soyuz TMA-15	2009.05.27	2009.12.01
9	STS-102	2001.03.08	2001.03.21
10	STS-91	1998.06.02	1998.06.12
11	Soyuz T-11	1984.04.03	1984.10.02
12	STS-42	1992.01.22	1992.01.30
13	Soyuz TM-25	1997.02.10	1997.08.14
14	STS-39	1991.04.28	1991.05.06
15	Shenzhou 10	2013.06.11	2013.06.26
16	STS-100	2001.04.19	2001.05.01
17	Shenzhou 7	2008.09.25	2008.09.28
18	STS-74	1995.11.12	1995.11.20
19	Skylab 2	1973.05.25	1973.06.22
20	STS-51-B	1985.04.29	1985.05.06
21	STS-101	2000.05.19	2000.05.29
22	Gemini 12	1966.11.11	1966.11.15
23	STS-7	1983.06.18	1983.06.24
24	Soyuz TMA-01M	2010.10.08	2011.03.16
25	STS-41-D	1984.08.30	1984.09.05
26	STS-70	1995.07.13	1995.07.22
27	STS-115	2006.09.09	2006.09.21
28	STS-125	2009.05.11	2009.05.23
29	Soyuz TM-27	1998.01.29	1998.08.25
30	Soyuz 10	1971.04.22	1971.04.24
31	Soyuz MS-05	2017.07.28	2017.12.14
32	STS-97	2000.12.01	2000.12.11
33	STS-89	1998.01.23	1998.01.31
34	STS-123	2008.03.11	2008.03.27
35	STS-114	2005.07.26	2005.08.09
36	Soyuz MS-02	2016.10.19	2017.04.11
37	STS-116	2006.12.10	2006.12.22
38	STS-76	1996.03.22	1996.03.31
39	STS-133	2011.02.24	2011.03.09
40	STS-51-C	1985.01.24	1985.01.27
41	Soyuz TMA-08M	2013.03.29	2013.09.11
42	STS-41-G	1984.10.05	1984.10.13
43	Vostok 5	1963.06.14	1963.06.19
44	STS-88	1998.12.04	1998.12.16
45	STS-50	1992.06.25	1992.07.09
46	Apollo 12	1969.11.14	1969.11.24
47	STS-55	1993.04.26	1993.05.06
48	STS-110	2002.04.08	2002.04.19
49	Soyuz MS-08	2018.03.21	2018.10.04
50	STS-78	1996.06.20	1996.07.07
51	STS-71	1995.06.27	1995.07.07
52	Soyuz MS-04	2017.04.20	2017.09.03
53	STS-79	1996.09.16	1996.09.26
54	Soyuz TM-8	1989.09.05	1990.02.19
55	STS-8	1983.08.30	1983.09.05
56	STS-107	2003.01.16	2003.02.01
57	STS-36	1990.02.28	1990.03.04
58	Apollo 8	1968.12.21	1968.12.27
59	Shenzhou 6	2005.10.12	2005.10.16
60	STS-77	1996.05.19	1996.05.29
61	STS-51-I	1985.08.27	1985.09.03
62	Soyuz 7	1969.10.12	1969.10.17
63	STS-126	2008.11.15	2008.11.30
64	STS-121	2006.07.04	2006.07.17
65	Soyuz TMA-04M	2012.05.15	2012.09.17
66	Soyuz TMA-14M	2014.09.26	2015.03.12
67	STS-87	1997.11.19	1997.12.05
68	Soyuz TMA-17	2009.12.20	2010.06.02
69	STS-103	1999.12.19	1999.12.27
70	STS-82	1997.02.11	1997.02.21
71	SpaceShipOne flight 17P	2004.10.04	2004.10.04
72	STS-132	2010.05.14	2010.05.26
73	Soyuz TMA-20	2010.12.15	2011.05.24
74	STS-86	1997.09.26	1997.10.06
75	STS-46	1992.07.31	1992.08.08
76	Voskhod 2	1965.03.18	1965.03.19
77	STS-67	1995.03.02	1995.03.18
78	Soyuz TMA-15M	2014.11.24	2015.06.11
79	Apollo 7	1968.10.11	1968.10.22
80	STS-54	1993.01.13	1993.01.19
81	Soyuz TMA-10	2007.04.07	2007.10.21
82	STS-108	2001.12.05	2001.12.17
83	STS-83	1997.04.04	1997.04.08
84	STS-94	1997.07.01	1997.07.17
85	STS-75	1996.02.22	1996.03.09
86	Soyuz TMA-8	2006.03.30	2006.09.29
87	STS-28	1989.08.08	1989.08.13
88	STS-124	2008.05.31	2008.06.14
89	STS-35	1990.12.02	1990.12.11
90	Soyuz TM-26	1997.08.05	1998.02.19
91	Soyuz MS-09	2018.06.06	2018.12.20
92	Soyuz TMA-11M	2013.11.07	2014.05.14
93	STS-72	1996.01.11	1996.01.20
94	Apollo 10	1969.05.18	1969.05.26
95	STS-85	1997.08.07	1997.08.19
96	Soyuz TMA-22	2011.11.14	2012.04.27
97	STS-127	2009.07.16	2009.07.31
98	Soyuz 5	1969.01.15	1969.01.18
99	STS-111	2002.06.05	2002.06.19
100	Soyuz TMA-6	2005.04.15	2005.10.15
101	Soyuz TMA-12	2008.04.08	2008.10.24
102	STS-40	1991.06.05	1991.06.14
103	STS-41	1990.10.06	1990.10.10
104	STS-104	2001.07.12	2001.07.24
105	STS-63	1995.02.03	1995.02.11
106	STS-34	1989.10.18	1989.10.23
107	Apollo 17	1972.12.07	1972.12.19
108	STS-43	1991.08.02	1991.08.11
109	Soyuz TMA-13	2008.10.12	2009.04.08
110	Soyuz 11	1971.06.06	1971.06.29
111	Shenzhou 9	2012.06.16	2012.06.29
112	Soyuz TM-15	1992.07.27	1993.02.01
113	STS-128	2009.08.28	2009.09.11
114	STS-61-C	1986.01.12	1986.01.18
115	STS-51-F	1985.07.29	1985.08.06
116	STS-58	1993.10.18	1993.11.01
117	STS-66	1994.11.03	1994.11.14
118	STS-93	1999.07.23	1999.07.27
119	Soyuz T-8	1983.04.22	1983.04.24
120	STS-118	2007.08.08	2007.08.21
121	STS-96	1999.05.27	1999.06.06
122	STS-131	2010.04.05	2010.04.18
123	Soyuz TMA-2	2003.04.26	2003.10.28
124	Soyuz T-10	1984.02.08	1984.04.11
125	Apollo-Soyuz Test Project	1975.07.15	1975.07.24
126	Vostok 1	1961.04.12	1961.04.12
127	Soyuz MS-03	2016.11.17	2017.06.02
128	STS-135	2011.07.08	2011.07.21
129	STS-33	1989.11.23	1989.11.28
130	STS-122	2008.02.07	2008.02.20
131	STS-47	1992.09.12	1992.09.20
132	Soyuz TM-30	2000.04.04	2000.06.16
133	STS-105	2001.08.10	2001.08.22
134	Soyuz 9	1970.06.01	1970.06.19
135	STS-92	2000.10.11	2000.10.24
136	Soyuz TMA-05M	2012.07.15	2012.11.19
137	Soyuz TM-17	1993.07.01	1994.01.14
138	STS-99	2000.02.11	2000.02.22
139	Soyuz 15	1974.08.26	1974.08.28
140	STS-41-C	1984.04.06	1984.04.13
141	STS-84	1997.05.15	1997.05.24
142	Soyuz TMA-13M	2014.05.28	2014.11.10
143	Soyuz 4	1969.01.14	1969.01.17
144	Soyuz TM-33	2001.10.21	2002.05.05
145	STS-95	1998.10.29	1998.11.07
146	Skylab 3	1973.07.28	1973.09.25
147	Soyuz 29	1978.06.15	1978.09.03
148	STS-90	1998.04.17	1998.05.03
149	STS-106	2000.09.08	2000.09.19
150	Apollo 15	1971.07.26	1971.08.07
151	STS-109	2002.03.01	2002.03.12
152	Soyuz TMA-11	2007.10.10	2008.04.19
153	STS-59	1994.04.09	1994.04.20
154	STS-49	1992.05.07	1992.05.16
155	STS-61-B	1985.11.27	1985.12.03
156	STS-31	1990.04.24	1990.04.29
157	STS-57	1993.06.21	1993.07.01
158	Soyuz 24	1977.02.07	1977.02.25
159	Soyuz TMA-18M	2015.09.02	2016.03.02
160	Soyuz TMA-02M	2011.06.08	2011.11.22
161	STS-62	1994.03.04	1994.03.18
162	Apollo 11	1969.07.16	1969.07.24
163	Shenzhou 11	2016.10.16	2016.11.18
164	Soyuz T-6	1982.06.24	1982.07.02
165	STS-65	1994.07.08	1994.07.23
166	STS-27	1988.12.02	1988.12.06
167	STS-60	1994.02.03	1994.02.11
168	STS-134	2011.05.16	2011.06.01
169	STS-41-B	1984.02.03	1984.02.11
170	Soyuz TMA-18	2010.04.02	2010.09.25
171	Soyuz TM-7	1988.11.26	1989.04.27
172	Soyuz 18-1	1975.04.05	1975.04.05
173	STS-44	1991.11.24	1991.12.01
174	STS-30	1989.05.04	1989.05.08
175	STS-61	1993.12.02	1993.12.13
176	Soyuz TMA-7	2005.10.01	2006.04.08
177	STS-9	1983.11.28	1983.12.08
178	Soyuz T-12	1984.07.17	1984.07.29
179	STS-26	1988.09.29	1988.10.03
