urhajosid	kuldetesid
322	280
517	88
517	136
234	46
234	146
14	130
14	122
134	290
134	209
198	246
510	192
418	186
531	147
35	224
538	13
144	41
144	205
519	198
519	260
68	302
68	66
72	137
72	249
72	119
72	54
491	170
491	251
421	314
421	295
497	76
497	248
484	98
484	269
484	30
99	1
286	142
286	91
444	217
444	24
444	252
444	254
444	132
561	180
483	297
483	260
483	54
483	252
217	278
217	171
217	287
416	150
214	204
450	96
450	265
82	214
204	211
79	62
79	220
191	51
191	90
191	192
191	186
191	112
121	159
325	302
325	36
338	28
338	168
338	49
260	75
260	161
260	85
263	35
263	60
263	33
263	9
183	322
183	134
428	201
428	199
281	258
27	247
477	115
359	96
359	78
359	308
408	277
457	159
167	120
167	39
60	120
432	216
432	66
230	47
230	105
434	299
62	95
388	51
388	33
388	2
388	288
388	45
340	149
550	98
550	316
55	238
210	27
210	93
210	189
210	32
472	177
472	155
472	87
521	71
180	135
180	183
180	157
180	93
377	169
377	156
527	103
527	154
54	155
54	102
141	22
141	162
449	177
449	183
194	259
194	45
194	275
339	82
339	281
339	165
339	53
31	141
31	32
305	246
305	118
305	73
83	19
83	244
83	245
83	46
206	167
206	114
206	156
206	183
355	35
231	25
231	7
231	155
308	195
489	50
139	267
139	115
84	259
84	225
84	161
236	104
236	82
236	216
516	10
516	47
516	51
516	141
203	81
203	282
399	14
399	236
226	163
494	165
494	145
18	18
18	16
18	284
482	37
482	113
199	97
199	41
135	27
135	63
135	128
274	69
274	75
274	175
274	85
94	254
94	144
337	196
337	122
425	95
425	145
425	69
425	131
425	117
425	60
495	148
495	120
146	55
146	258
411	93
411	121
411	133
503	154
503	55
503	202
503	288
173	149
173	27
173	96
9	82
9	281
9	215
9	60
15	82
15	239
205	7
485	12
485	240
485	179
485	57
219	42
219	87
219	183
23	56
40	233
40	258
40	174
40	6
343	263
343	219
343	150
427	97
427	116
427	74
427	207
88	184
533	140
125	183
419	73
460	218
460	72
32	34
32	10
32	138
32	82
133	20
302	125
8	14
8	80
8	117
193	272
291	197
291	63
291	199
216	84
216	165
216	26
216	83
506	7
506	106
279	79
437	122
257	97
257	128
128	239
128	256
153	151
197	289
258	209
96	3
301	141
301	149
301	123
314	271
64	7
162	35
162	105
162	141
162	118
383	48
383	212
383	117
383	121
349	106
349	45
349	51
152	40
246	63
246	39
296	2
431	206
431	94
431	107
33	45
16	222
511	102
195	59
251	75
78	321
78	58
300	4
300	8
351	259
351	281
351	133
267	167
267	85
267	10
267	99
267	114
267	106
267	75
309	287
448	5
346	20
346	129
346	173
462	23
462	258
462	179
120	113
120	44
120	133
120	196
387	246
90	194
90	52
90	207
90	81
90	256
487	288
487	108
487	157
45	34
45	72
166	40
320	313
320	180
422	139
2	65
2	191
2	315
2	201
2	282
475	313
475	213
475	223
475	119
475	11
514	239
514	221
293	140
293	114
293	179
439	253
189	110
74	314
74	312
74	278
397	300
552	182
508	3
505	138
321	237
295	230
190	28
102	88
102	168
225	34
225	168
292	70
292	14
292	80
292	51
518	83
518	84
265	176
554	142
509	6
509	55
509	2
509	14
436	166
436	89
227	185
42	47
42	130
