id	nev	orszag	nem	szulev	urido
1	Stuart Roosa	USA	F	1933	T009:00:01
2	Gennady Padalka	RUS	F	1958	T878:11:29
3	Valery Korzun	RUS	F	1953	T381:15:41
4	Scott Carpenter	USA	F	1925	T000:04:56
5	Vladislav Volkov	URS	F	1935	T028:20:02
6	Umberto Guidoni	ITA	F	1954	T027:15:11
7	Nicole Marie Passonno Stott	USA	N	1962	T026:15:58
8	Donald McMonagle	USA	F	1952	T025:05:34
9	Daniel Bursch	USA	F	1957	T226:22:15
10	Oleg Skripochka	RUS	F	1969	T331:12:29
11	Yi So-yeon	KOR	N	1978	T010:21:13
12	Julie Payette	CAN	N	1963	T025:07:58
13	Linda Godwin	USA	N	1952	T038:06:15
14	Alan G. Poindexter	USA	F	1961	T027:21:09
15	Daniel Tani	USA	F	1961	T131:18:05
16	Evgeny Tarelkin	RUS	F	1974	T143:16:19
17	Jeffrey Williams	USA	F	1958	T534:02:47
18	Chris Hadfield	CAN	F	1959	T165:16:20
19	Lee Morin	USA	F	1952	T010:19:42
20	Thomas Pesquet	FRA	F	1978	T196:17:53
21	Klaus-Dietrich Flade	GER	F	1952	T175:02:51
22	James "Ox" van Hoften	USA	F	1944	T014:01:57
23	David M. Brown	USA	F	1956	T015:22:20
24	Martin J. Fettman	USA	F	1956	T014:00:12
25	Liu Yang	CHN	N	1978	T012:15:23
26	Mario Runco, Jr.	USA	F	1952	T022:23:07
27	Anousheh Ansari	IRI	N	1966	T010:21:05
28	Virgil I. "Gus" Grissom	USA	F	1926	T000:05:08
29	John D. Olivas	USA	F	1966	T027:17:05
30	Vladimir Dzhanibekov	URS	F	1942	T145:15:58
31	Carlos I. Noriega	PER	F	1959	T020:00:17
32	Dominic Gorie	USA	F	1957	T048:15:23
33	Eugene Trinh	USA	F	1950	T013:19:30
34	Robert Overmyer	USA	F	1936	T012:02:23
35	Aleksandr Laveykin	URS	F	1951	T174:03:25
36	James Buchli	USA	F	1945	T020:10:24
37	Viktor Gorbatko	URS	F	1934	T030:12:49
38	Richard R. Arnold	USA	F	1963	T208:13:30
39	Stephen Frick	USA	F	1964	T023:14:04
40	David M. Walker	USA	F	1944	T030:04:30
41	James M. Kelly	USA	F	1964	T026:17:23
42	Hans Schlegel	GER	F	1951	T022:18:02
43	Serena Auñón-Chancellor	USA	N	1976	T196:20:07
44	James P. Bagian	USA	F	1952	T014:01:53
45	Garrett Reisman	USA	F	1968	T107:03:16
46	Laurel B. Clark	USA	N	1961	T015:22:20
47	Stephanie Wilson	USA	N	1966	T042:23:47
48	Leroy Chiao	USA	F	1960	T229:08:40
49	K. Megan McArthur	USA	N	1971	T012:21:37
50	Harrison Schmitt	USA	F	1935	T012:13:51
51	Kathryn Hire	USA	N	1959	T029:15:58
52	Mark Shuttleworth	RSA	F	1973	T009:21:25
53	Walter Schirra	USA	F	1923	T012:07:13
54	Bryan O'Connor	USA	F	1946	T015:23:19
55	Boris Yegorov	URS	F	1937	T001:00:17
56	Stephen Robinson	USA	F	1955	T048:09:51
57	Michael J. Smith	USA	F	1945	T000:00:01
58	Mark Kelly	USA	F	1964	T054:02:05
59	Jon McBride	USA	F	1943	T008:05:23
60	Barbara Morgan	USA	N	1951	T012:17:56
61	Marsha Ivins	USA	N	1951	T055:21:49
62	Bjarni Tryggvason	CAN	F	1945	T011:20:27
63	Yelena Kondakova	RUS	N	1957	T178:09:41
64	Edwin J. Garn	USA	F	1932	T006:23:55
65	Kalpana Chawla	USA	N	1962	T031:14:54
