id	nev	nem	szuletett	elhunyt	identitas
1	Takács Lajos	f	1924	2015	amerikai-magyar
2	Verzár Frigyes / Verzár, Fritz	f	1886	1979	svájci magyar
3	Bernard, Jean Alfred	f	1907	2006	francia
4	Wolf, Julius	f	1862	1937	német
5	Schöpflin Aladár	f	1872	1950	
6	Chua, Leon Ong	f	1936		amerikai
7	Péli Gábor	f	1956		hollandiai magyar
8	Lengyel Béla	f	1844	1913	
9	Schmidt, Wilhelm Adolf	f	1812	1887	német
10	Lányi Károly	f	1812	1856	
11	Károlyi István	f	1845	1907	
12	Hooker, Joseph Dalton	f	1817	1911	angol
13	Szentkláray Jenő	f	1843	1925	
14	Orosz István	f	1935		
15	Keller András / Keller, Andrew	f	1925	1999	nagy-britanniai magyar
16	Hajdú Péter	f	1923	2002	
17	Komlós János	f	1942		amerikai-magyar
18	Gegesi Kiss Pál	f	1900	1993	
19	Melehov, Ivan Sztyepanovics	f	1905	1994	orosz
20	Moscovici, Serge	f	1925	2014	franciaországi román
21	Tulassay Zsolt	f	1944		
22	Gábor Csilla	n	1963		romániai magyar
23	Barabás Samu	f	1855	1940	
24	Blohincev, Dmitrij Ivanovics	f	1908	1979	orosz
25	Mróz, Zenon	f	1930		lengyel
26	Waitz, Georg	f	1813	1886	német
27	Verő József	f	1904	1985	
28	Helmholtz, Hermann Ludwig von	f	1821	1894	német
29	Farkas Tibor	f	1929	2003	
30	Beke Manó	f	1862	1946	
31	Steiner Lajos	f	1871	1944	
32	Árvay Gergely	f	1790	1871	
33	Maróth Miklós	f	1943		
34	Horváth Ignác	f	1843	1881	
35	Riedl Szende	f	1831	1873	
36	Vajta László	f	1920	1979	
37	Berzsenyi Dániel	f	1776	1836	
38	Bogoljubov, Nyikolaj Nyikolajevics	f	1909	1992	orosz
39	Pantó Gábor	f	1917	1972	
40	Kántás Károly	f	1912	1991	
41	Kandó Kálmán	f	1869	1931	
42	Szabó Miklós	f	1940		
43	Rincsen, Bjambin	f	1905	1977	mongol
44	Bökönyi Sándor	f	1926	1994	
45	Rott, Rudolf	f	1926	2003	német
46	Juhász István	f	1943		
47	Maksimović, Zoran	f	1923	2016	szerb
48	Julius, David	f	1955		amerikai
49	Nathenson, Stanley G.	f	1933	2012	amerikai
50	Káldor Miklós / Kaldor, Nicholas	f	1908	1986	nagy-britanniai magyar
51	Balássy Ferenc	f	1821	1896	
52	Halmos Pál	f	1916	2006	amerikai-magyar
53	Herepei Károly	f	1802	1871	
54	Müller Sándor	f	1903	1966	
55	Simonovits István	f	1907	1985	
56	Tarczy Lajos	f	1807	1887	
57	Neilreich, August	f	1803	1871	osztrák
58	Colasanti, Arduino	f	1877	1935	olasz
59	Győry Tibor	f	1869	1938	
60	Gide, Charles	f	1847	1932	francia
61	Bruckner Győző	f	1900	1980	
62	Kolosváry Gábor	f	1901	1968	
63	Kis János	f	1770	1846	
64	Komáromy András	f	1861	1931	
65	Horvát Boldizsár	f	1822	1898	
66	Virchow, Rudolf	f	1821	1902	német
67	Keglevich Gábor	f	1784	1854	
68	Demény Attila	f	1962		
69	Radvánszky Béla	f	1849	1906	
70	Eigen, Manfred	f	1927	2019	német
71	Mádl Ferenc	f	1931	2011	
72	Bóna István	f	1930	2001	
73	Mauthner Nándor	f	1879	1944	
74	Polner Ödön	f	1865	1961	
75	Baird, Spencer Fullerton	f	1823	1887	amerikai
76	Stefanovits Pál	f	1920	2016	
77	Moravcsik Edit	n	1939		amerikai-magyar
78	Hjelt, Sven-Erik Oskar	f	1939		finnországi svéd
79	Kárpáti György / Karpati, George	f	1934	2009	kanadai magyar
80	Pálffi Albert	f	1820	1897	
81	Vadász Elemér	f	1885	1970	
82	Bargyin, Ivan Pavlovics	f	1883	1960	orosz
