id	tagid	tipus	ev
1	584	t	2007
2	2764	r	1903
3	1316	r	2007
4	2371	r	2001
5	2546	l	2013
6	417	r	2016
7	278	r	1982
8	2481	l	1833
9	1454	l	2001
10	2173	r	1970
11	1184	t	2019
12	3166	r	1918
13	570	l	1948
14	1633	l	1967
15	239	k	1998
16	2734	l	1880
17	672	t	1858
18	2170	t	1901
19	567	r	1830
20	292	l	2007
21	1204	l	1841
22	2986	r	1956
23	2545	t	1993
24	83	l	1990
25	2308	l	1858
26	232	t	1938
27	670	r	2001
28	912	l	1892
29	1585	t	1915
30	593	r	1946
31	1574	r	1892
32	576	l	2001
33	1208	t	2004
34	5	t	1948
35	1964	l	1831
36	579	l	1872
37	1466	l	1887
38	418	k	2004
39	2602	r	2010
40	1677	t	1910
41	2251	t	2010
42	3011	r	1976
43	2401	l	1979
44	1020	r	1958
45	95	l	1858
46	403	r	1945
47	121	l	1993
48	1643	l	2019
49	482	t	1986
50	570	r	1967
51	1581	k	2007
52	2049	r	1987
53	1712	l	2010
54	2471	l	1936
55	2098	l	1970
56	1326	l	1985
57	1640	r	1998
58	1699	t	1990
59	1025	k	2010
60	1045	t	1946
61	2490	r	1946
62	1614	l	1933
63	1754	r	2013
64	488	l	1920
65	2081	l	1832
66	633	t	1993
67	3023	r	1958
68	93	r	2004
69	2257	l	1898
70	907	t	1977
71	230	l	2001
72	139	r	1861
73	297	r	2004
74	1063	r	1903
75	2243	l	2007
76	1768	l	1894
77	2726	l	1993
78	1473	t	1895
79	3172	l	1949
80	2022	r	1928
81	340	l	1858
82	2024	l	1995
83	761	t	2004
84	1325	t	1934
85	1476	l	1902
86	2790	r	1990
87	1785	t	1930
88	139	l	1858
89	2744	r	1943
90	2168	r	1876
91	2304	t	1917
92	2361	l	1919
93	3098	r	1949
94	1007	k	1998
95	2763	r	1985
96	1639	r	1954
97	2765	r	1973
98	711	l	1931
99	1284	t	1932
100	2552	l	1902
101	2687	k	1995
102	736	k	1990
103	2312	l	1892
104	2093	t	2010
105	2394	r	1941
106	670	l	1993
107	2779	t	1964
108	2006	t	1924
109	640	t	1990
110	1290	l	1863
111	1889	r	2004
112	3147	l	1949
113	202	l	1893
114	895	l	1946
115	937	l	1976
116	2277	l	1945
117	207	l	2013
118	2693	t	1873
119	541	t	1888
120	644	k	1990
121	2137	l	1839
122	3137	t	1876
123	2667	t	1981
124	2384	t	1930
125	2356	t	1911
126	3056	t	1917
127	328	t	1938
128	162	k	1993
129	2750	l	1889
130	2279	t	1899
131	3172	r	1950
132	1963	t	1858
133	1896	l	1899
134	1707	l	1841
135	86	l	1892
136	1455	r	1970
137	1256	l	2019
138	979	r	1830
139	1037	l	1933
140	366	r	2010
141	2636	t	1876
142	1810	t	1900
143	1303	l	1993
144	588	l	1832
145	2482	l	1946
146	66	t	1873
147	1356	l	1976
148	221	l	1864
149	3221	t	1931
150	1532	l	2013
151	2260	k	1990
152	3161	r	1832
153	2630	l	1962
154	1900	r	1954
155	1089	l	1858
156	2258	r	2010
157	1693	l	2013
158	210	l	1902
159	1907	r	1845
160	2213	l	1845
161	2561	r	1962
162	1361	l	1922
163	794	t	1908
164	3038	r	1838
165	535	r	1995
166	1053	l	1976
167	992	t	2010
168	2986	l	1948
169	3041	t	2013
170	899	l	1870
171	2048	r	1998
172	1955	l	1995
173	1062	l	1892
174	1406	r	2013
175	2709	l	1877
176	1704	t	2004
177	1846	r	1985
178	1102	k	2007
179	3180	r	1830
180	974	l	1893
181	194	r	2001
182	3187	l	1973
183	3019	k	1990
184	1254	r	1956
185	1953	r	1910
186	2858	l	1916
187	3198	l	1832
188	2099	l	1948
189	999	l	1993
190	1385	r	1917
191	1910	t	1970
192	2701	l	1912
193	1477	r	1920
194	1900	l	1946
195	275	r	2004
196	1978	r	1995
197	1503	t	1995
198	737	l	1892
199	690	l	1895
200	2064	r	1979
201	1805	r	2016
202	1146	r	1881
203	940	l	1865
204	1622	l	2013
205	1827	l	1940
206	2882	l	1894
207	762	k	2016
208	3072	r	1973
209	2343	l	1948
210	2521	l	1941
211	2101	t	1831
212	1458	l	1864
213	339	l	1921
214	1647	l	1921
215	2073	l	2007
216	1036	l	2019
217	787	r	2004
218	1286	l	1876
219	1189	r	1987
220	1452	l	1924
221	1154	l	1937
222	8	l	1876
223	2495	t	1958
224	2050	r	1985
225	1848	l	1847
226	1873	r	1947
227	1404	r	1931
228	1841	l	1872
229	78	t	1998
230	1224	t	1964
231	1995	r	1991
232	742	l	1921
233	1161	t	1983
234	1221	l	1973
235	376	r	1990
236	1578	k	1895
237	2665	l	1920
238	1707	r	1858
239	1148	l	1985
240	197	l	1925
241	925	t	1863
242	1899	t	1858
243	1951	t	1986
244	3133	t	1988
245	1297	l	1902
246	533	k	1881
247	2541	l	1982
248	1684	l	1970
249	1059	t	1863
250	172	l	1998
251	830	r	1865
252	1166	l	1918
253	2501	r	1885
254	41	l	1927
255	2721	l	1871
256	2223	k	2019
257	969	r	1931
258	1973	t	1891
259	1236	r	1946
260	703	l	1896
261	42	r	2001
262	3142	l	1836
263	2389	r	2019
264	951	l	1881
265	790	t	2013
266	2651	t	1995
267	2706	l	1927
268	1341	r	2016
269	1247	l	1894
270	3068	l	1945
271	1835	l	1934
272	740	l	1993
273	1383	l	1841
274	1234	k	1938
275	1067	l	1858
276	919	r	2004
277	203	k	2001
278	1738	l	1871
279	2566	l	1858
280	2461	k	2004
281	2915	l	1946
282	2359	l	1976
283	1364	k	1995
284	631	l	1840
285	1661	t	1988
286	1856	l	1951
287	24	t	1961
288	972	r	1899
289	527	t	1881
290	265	r	1985
291	316	r	1956
292	3109	k	2013
293	99	l	1922
294	1908	r	1946
295	2799	t	1960
296	3083	l	1890
297	1638	l	1987
298	2820	t	2016
299	1565	r	1830
300	2090	r	1979
301	183	l	1928
302	23	l	1910
303	1315	r	2007
304	2303	r	1940
305	765	t	2010
306	1637	t	1831
307	621	l	1987
308	2484	l	2016
309	1279	t	1981
310	1080	t	1934
311	3116	r	1945
312	2557	l	1863
313	2400	l	1965
314	1194	l	1858
315	188	r	1883
316	772	t	2001
317	2148	t	1979
318	1205	t	2007
319	2989	r	1995
320	132	l	1832
321	563	t	1914
322	2553	l	1990
323	976	l	1858
324	1579	r	2010
325	1691	l	1858
326	3045	t	1843
327	517	l	1982
328	3159	l	1970
329	2776	l	1832
330	102	l	1935
331	2605	t	1892
332	1859	l	2001
333	112	t	1995
334	2476	k	2016
335	678	l	1926
336	265	l	1973
337	2041	l	2001
338	1249	r	1998
339	1528	t	1889
340	2264	r	1982
341	630	l	2010
342	1101	k	2019
343	2860	l	1945
344	545	l	1835
345	2664	k	2007
346	549	l	1858
347	2728	k	1990
348	1244	l	1880
349	676	t	1914
350	3206	l	1982
351	1849	t	2001
352	2318	r	2004
353	750	r	1832
354	383	t	1911
355	1526	l	1993
356	1496	t	1986
357	771	t	2004
358	3166	t	1931
359	627	l	1891
360	1786	l	1945
361	1017	t	1858
362	185	r	1954
363	2965	l	2013
364	830	t	1887
365	2304	r	1873
366	2765	l	1967
367	464	t	1955
368	3097	t	1884
369	113	r	2001
370	2930	t	1931
371	2549	l	1934
372	597	r	2004
373	220	l	1947
374	3099	t	1914
375	885	l	2016
376	1081	r	2010
377	500	r	2016
378	1124	t	1865
379	1822	t	2007
380	2715	r	2010
381	857	r	2004
382	1486	r	2016
383	1627	l	1990
384	569	l	2011
385	1080	l	1895
386	2983	r	1841
387	2488	t	1931
388	2224	t	2004
389	445	r	2016
390	1229	l	1934
391	1193	t	1847
392	994	l	1891
393	1145	l	1945
394	2641	k	1990
395	2699	r	1955
396	1131	r	1890
397	741	l	1844
398	605	l	1941
399	1935	r	1858
400	1724	l	1887
401	2634	t	1878
402	208	t	2007
403	529	l	1832
404	1337	l	1880
405	1105	k	2001
406	3100	r	1995
407	805	t	1910
408	705	t	1914
409	445	l	2010
410	1327	r	1998
411	2977	r	1982
412	136	t	1914
413	3035	l	1880
414	1151	r	1936
415	345	r	1979
416	1798	t	2001
417	164	t	2001
418	1918	t	1938
419	2524	t	1938
420	1832	t	1863
421	1431	r	1985
422	1410	l	1867
423	2245	r	1934
424	2696	k	2010
425	3153	k	2010
426	1615	l	1949
427	2994	r	2019
428	1031	k	1872
429	1438	l	1913
430	1483	r	2001
431	12	t	1891
432	316	l	1949
433	917	r	2004
434	498	t	1939
435	1293	l	1831
436	1674	t	1872
437	3165	l	1998
438	2019	t	1831
439	42	l	1995
440	1298	l	1870
441	845	l	1950
442	2415	l	2004
443	2378	l	1858
444	2383	r	2013
445	1853	l	1832
446	2354	t	1858
447	827	l	1931
448	2676	l	1864
449	227	l	2004
450	1436	l	1976
451	188	l	1878
452	1720	t	1846
453	1795	t	2007
454	243	t	1877
455	2041	r	2007
456	900	l	1956
457	1764	r	2001
458	548	r	2001
459	1113	k	1998
460	2406	l	1967
461	1168	r	1976
462	1233	l	1953
463	2581	t	1916
464	986	t	2013
465	2569	t	2010
466	3003	r	1921
467	2837	l	1864
468	3076	l	1832
469	1227	r	1985
470	721	t	2013
471	2195	l	1895
472	748	t	1979
473	3064	l	1995
474	2579	r	1990
475	2211	l	1973
476	2357	t	1967
477	1520	l	1864
478	307	r	1987
479	1874	l	2019
480	2879	l	1948
481	1546	t	1896
482	821	t	1931
483	2490	l	1946
484	1934	k	1928
485	333	r	2013
486	357	t	2010
487	3048	r	2013
488	1904	t	1863
489	866	l	2001
490	830	l	1837
491	2570	l	1985
492	641	r	1841
493	1984	t	1960
494	1216	t	1900
495	440	k	2010
496	1524	k	2016
497	1073	r	1898
498	2627	l	1861
499	305	l	1995
500	1750	r	1868
501	1850	l	1990
502	2071	l	1922
503	479	k	2001
504	1051	r	1906
505	1319	l	1927
506	1118	l	1905
507	917	l	1995
508	176	t	1915
509	3028	l	1846
510	2985	l	1982
511	510	l	1998
512	1789	t	1953
513	3124	k	2010
514	1377	l	1844
515	2289	t	1998
516	88	t	1905
517	2418	r	1973
518	2503	r	1942
519	1735	t	1995
520	725	l	1998
521	1620	t	1900
522	1698	t	1910
523	3122	t	1973
524	3176	t	1993
525	2052	l	2016
526	718	l	1903
527	511	k	2004
528	3213	l	1845
529	542	t	1892
530	840	k	2001
531	1784	t	1990
532	738	t	1936
533	2723	l	2016
534	2873	l	1863
535	214	k	2004
536	57	t	1867
537	2252	r	1858
538	816	r	1979
539	2471	r	1941
540	1010	l	1970
541	329	l	1833
542	1160	r	2013
543	669	l	1903
544	2187	k	2016
545	2345	t	1986
546	856	r	1990
547	160	l	1979
548	1772	l	2019
549	345	l	1970
550	2893	l	1880
551	2970	l	1976
552	3113	l	1832
553	2623	l	1910
554	22	k	2019
555	2506	l	1945
556	2811	l	1880
557	1882	l	1897
558	3151	t	1877
559	1148	r	1990
560	719	k	1990
561	1309	t	1973
562	869	r	1995
563	2841	l	1985
564	2836	r	1945
565	75	t	1863
566	1518	k	2010
567	138	r	1949
568	3116	l	1934
569	1985	l	1946
570	1126	l	1973
571	1339	l	1881
572	2927	l	1960
573	1954	t	1942
574	1285	l	1973
575	1076	l	1976
576	770	l	1863
577	2247	r	1973
578	2245	l	1920
579	1460	r	1982
580	2829	t	1946
581	1374	k	2007
582	1232	l	1860
583	1308	l	1921
584	1688	l	2016
585	2243	r	2013
586	454	r	1987
587	1970	l	2010
588	3117	l	1946
589	3054	r	1926
590	1937	r	1998
591	3008	k	2013
592	2778	l	1883
593	1086	k	1993
594	40	l	1954
595	2863	t	1873
596	703	r	1904
597	2854	t	1905
598	2140	r	1946
599	1317	r	1960
600	2923	k	1990
601	715	l	2019
602	1542	t	2013
603	679	t	2001
604	1794	r	1832
605	1487	r	2001
606	1866	l	1873
607	77	k	2019
608	1905	l	1836
609	1846	l	1973
610	2614	t	2001
611	539	r	2007
612	2391	t	2007
613	1770	l	1887
614	2611	t	1906
615	2965	r	2019
616	2268	l	1858
617	1338	r	1956
618	3209	l	1891
619	298	r	2019
620	489	t	2007
621	1457	r	1830
622	1434	t	1993
623	1069	l	1858
624	1422	r	1837
625	365	r	1995
626	2935	r	1871
627	1254	l	1948
628	659	r	1839
629	3015	l	1858
630	1291	t	1936
631	759	r	1973
632	446	t	1933
633	2306	t	1861
634	3173	t	1988
635	480	t	1973
636	1536	r	1960
637	687	t	1899
638	3080	t	1976
639	1538	l	1858
640	3110	r	1939
641	1075	l	1995
642	543	t	2001
643	909	t	1990
644	1458	t	1907
645	2710	l	1987
646	1192	r	1965
647	624	r	1903
648	774	k	2013
649	2121	t	1935
650	1115	t	1973
651	1455	l	1958
652	56	r	1840
653	1646	t	1960
654	768	r	1946
655	2276	t	1873
656	2592	l	1911
657	2916	l	1864
658	437	l	1946
659	2896	l	1884
660	29	l	1990
661	2034	t	2010
662	2618	l	1871
663	3213	t	1885
664	2499	k	2004
665	1600	l	1943
666	1757	k	1995
667	1765	l	1858
668	514	t	1998
669	622	t	1900
670	3071	t	1858
671	2999	r	1835
672	1920	t	1943
673	2009	k	2013
674	1675	l	1913
675	435	l	1919
676	2628	l	1841
677	52	t	1979
678	1701	t	2004
679	153	t	1834
680	1975	t	1832
681	1381	r	2016
682	681	k	1990
683	2861	r	1995
684	2518	t	1965
685	2194	k	1995
686	1409	r	1858
687	1622	r	2019
688	1006	k	1900
689	366	l	2004
690	1801	l	1892
691	2450	l	1928
692	2505	t	1983
693	1629	t	1901
694	1558	l	1948
695	3163	l	1881
696	2136	l	1954
697	2442	t	1938
698	3028	t	1886
699	929	r	1976
700	3181	l	2007
701	2599	r	1965
702	2520	l	1943
703	428	l	2019
704	2595	t	2007
705	2767	l	1942
706	857	l	1998
707	3194	l	1847
708	1019	r	1982
709	534	t	1858
710	2948	r	1985
711	2582	t	2001
712	2938	l	1922
713	614	l	1892
714	2648	r	1908
715	1	k	1993
716	3210	t	1925
717	302	l	1899
718	2840	r	1898
719	2000	l	1871
720	1001	k	1846
721	2775	l	1982
722	3215	l	1987
723	180	l	1879
724	2037	l	1858
725	926	t	1858
726	2043	k	1998
727	777	t	1865
728	2597	r	1995
729	221	r	1873
730	2242	t	1995
731	3001	l	1893
732	2764	t	1910
733	1847	l	1946
734	1718	l	1970
735	2599	l	1953
736	559	k	2004
737	2828	t	1988
738	873	l	1970
739	2172	l	1892
740	1110	t	1876
741	2120	l	1967
742	2640	r	1982
743	2933	l	1840
744	2466	l	1990
745	704	l	1884
746	1627	r	1995
747	2344	k	1990
748	2793	r	1929
749	749	l	1942
750	2616	r	1898
751	473	t	1998
752	2202	t	1973
753	965	l	1982
754	280	t	2001
755	2051	t	1872
756	755	r	1973
757	2535	r	2010
758	1742	r	2013
759	212	r	1928
760	977	l	1956
761	298	l	2013
762	819	k	1993
763	1511	t	1874
764	1640	l	1993
765	273	l	1923
766	2493	l	1898
767	200	l	1939
768	657	t	1979
769	1373	r	2019
770	628	r	2004
771	1617	r	1916
772	2167	r	2010
773	413	r	1976
774	3167	t	1905
775	2331	r	1982
776	1777	l	1982
777	2332	l	1924
778	2784	l	1995
779	1686	r	1892
780	128	t	1990
781	236	l	2004
782	866	r	2007
783	1947	l	1939
784	1938	t	1832
785	2866	l	1936
786	2352	r	2019
787	1881	l	2016
788	323	t	1939
789	2631	l	1951
790	2406	r	1976
791	1027	t	1965
792	3014	l	1878
793	1469	l	1898
794	2548	r	1946
795	2929	r	1965
796	2280	r	2007
797	3018	t	1970
798	2684	l	1990
799	958	t	1881
800	2730	l	1927
801	2026	l	1954
802	1245	l	1990
803	1226	k	1995
804	1743	l	1990
805	709	l	1896
806	850	r	1976
807	743	l	1973
808	376	l	1982
809	1305	l	1880
810	1999	l	1865
811	1973	r	1873
812	2661	t	1882
813	2583	l	1860
814	624	l	1893
815	553	t	1864
816	3021	k	1990
817	2139	l	1982
818	1559	l	1864
819	502	t	1889
820	2483	t	2019
821	2198	r	1836
822	190	l	1921
823	470	l	2007
824	2411	l	1930
825	2300	l	1990
826	358	l	1847
827	924	r	1927
828	1253	l	1922
829	1144	l	1832
830	1259	r	1995
831	2195	t	1917
832	408	r	2013
833	381	l	1982
834	1787	l	1915
835	1575	t	2010
836	1466	r	1912
837	2112	t	1898
838	1726	r	2013
839	484	t	1964
840	2150	r	1970
841	3142	r	1838
842	364	r	1982
843	1131	l	1883
844	1486	l	2010
845	2952	t	1941
846	424	l	1945
847	1898	k	2004
848	1941	l	1903
849	2182	l	1936
850	3189	t	1949
851	1483	l	1995
852	2540	t	1979
853	1883	r	2007
854	2782	t	1867
855	2457	l	2001
856	2062	t	1858
857	1446	t	1834
858	390	l	1927
859	2658	t	1872
860	665	t	1847
861	1318	l	1918
862	993	r	1985
863	2924	k	2004
864	755	l	1961
865	1624	t	1977
866	1696	l	1880
867	1470	r	1838
868	2478	t	1990
869	1709	l	1843
870	1342	r	1976
871	2663	l	1933
872	13	l	1882
873	1475	l	1906
874	1734	l	1858
875	1236	l	1946
876	2408	r	1905
877	461	k	1995
878	1240	k	2016
879	1114	l	1858
880	2269	t	1877
881	1151	l	1916
882	2572	r	2004
883	2231	l	1901
884	3152	k	2004
885	58	t	1927
886	230	r	2007
887	2802	r	1922
888	1242	l	2010
889	3136	t	1871
890	2533	k	1995
891	180	r	1884
892	2463	r	1987
893	1405	r	1872
894	430	t	1910
895	2392	l	2007
896	1588	l	1893
897	1805	l	2010
898	1946	t	1869
899	1336	t	1955
900	111	t	1880
901	844	l	1970
902	269	r	1976
903	897	t	1995
904	262	r	1908
905	1579	l	2004
906	2458	t	1871
907	2808	t	1990
908	1022	t	1892
909	1802	l	1982
910	2446	t	1940
911	3150	r	1985
912	2068	t	1858
913	253	t	1982
914	83	r	1991
915	84	t	1986
916	1987	r	1931
917	2855	t	2013
