dalid	eloadoid	cim	megjelenes
1	1	Donna	1973
2	1	Dreadlock Holiday	1978
3	1	Feel The Love (Oomachasaooma)	1983
4	1	Good Morning Judge	1977
5	1	I'm Mandy Fly Me	1976
6	1	I'm Not In Love	1975
7	1	Silly Love	1974
8	1	The Things We Do For Love	1976
9	1	The Wall Street Shuffle	1974
10	2	Simon Says	1968
11	3	Never Alone	1993
12	4	No Limit	1993
13	5	California Love	1996
14	5	Changes	1998
15	5	Dear Mama	1998
16	6	Here Without You	2004
17	6	Kryptonite	2000
18	7	KINGS AND QUEENS	2009
19	8	De Stroom	2011
20	8	Geloven In Het Leven	2010
21	8	Watermensen	2008
22	9	What's Up	1993
23	10	Youngblood	2018
24	11	I'm On Fire	1975
25	12	Swim With Sam	2006
26	31	Hunting High And Low	1986
27	31	Take On Me	1985
28	31	The Sun Always Shines On T.V.	1986
29	13	Chiquitita	1979
30	13	Dancing Queen	1976
31	13	Does Your Mother Know	1979
32	13	Eagle	1978
33	13	Fernando	1975
34	13	Gimme Gimme Gimme	1979
35	13	Happy New Year	1980
36	13	Head Over Heels	1982
37	13	Honey Honey	1974
38	13	I Do I Do I Do I Do I Do	1975
39	13	I Have A Dream	1979
40	13	Knowing Me Knowing You	1977
41	13	Lay All Your Love On Me	1980
42	13	Mamma Mia	1975
43	13	Money Money Money	1976
44	13	One Of Us	1981
45	13	Ring Ring	1973
46	13	S.O.S.	1975
47	13	Summer Night City	1978
48	13	Super Trouper	1980
49	13	Take A Chance On Me	1977
50	13	Thank You For The Music	1978
51	13	The Day Before You Came	1982
52	13	The Name Of The Game	1977
53	13	The Winner Takes It All	1980
54	13	Voulez-Vous	1979
55	13	Waterloo	1974
56	14	All Of My Heart	1982
57	14	Poison Arrow	1982
58	14	The Look Of Love	1982
59	15	Onderweg	2000
60	16	Back in black	1980
61	16	Highway To Hell	1979
62	16	Thunderstruck	1990
63	16	Whole Lotta Rosie	1978
64	16	You Shook Me All Night Long	1980
65	17	Slaap Zacht Elisabeth	1998
66	17	Als Het Vuur Gedoofd Is	1997
67	17	Dag Esmee	1997
68	17	Dan Leef Ik Toch Nog Een Keer	2007
69	17	De Kapitein Deel II	2000
70	17	Eva	2010
71	17	Het Regent Zonnestralen	1998
72	17	Lopen Tot De Zon Komt	1997
73	17	Mooi Liedje	1997
74	17	Niet Of Nooit Geweest	1998
75	17	Ren Lenny Ren	2002
76	17	Voetstuk Staan	2012
77	16	Let There Be Rock	1977
78	18	How Long	1974
79	19	All That She Wants	1993
80	20	Stand And Deliver	1981
81	21	Ghost Town	2015
82	22	C'est Ma Vie	1976
83	22	Dolce Paola	1965
84	22	Inch' Allah	1967
85	22	Tombe La Neige	1964
86	22	Vous Permettez Monsieur	1964
87	23	All I Ask	2015
88	23	Chasing Pavements	2008
89	23	Hello	2015
90	23	Hometown Glory	2009
91	23	Make You Feel My Love	2008
92	23	Million Years Ago	2016
93	23	Rolling In The Deep	2010
94	23	Rumour Has It	2011
95	23	Send My Love (To Your New Lover)	2016
96	23	Set Fire To The Rain	2011
97	23	Skyfall	2012
98	23	Someone Like You	2011
99	23	Turning Tables	2011
100	23	Water Under The Bridge	2016
101	23	When We Were Young	2015
102	24	Adiemus	1995
103	25	Azzuro	1969
104	25	Prisencolinen Sinainciusol	1973
105	26	Crazy	1993
106	26	Cryin'	1993
107	26	Dream On	1973
108	26	I Don't Want To Miss A Thing	1997
109	26	Love In An Elevator	1989
110	27	Ramaya	1975
111	28	Not Just A Flower In Your Hair	1967
112	29	Riverside	2011
113	30	Wrap Your Arms Around Me	1983
114	32	All I Need	1998
115	33	Racing Car	1976
116	34	All Out Of Love	1980
117	35	Let's Stay Together	1971
118	36	Roof Garden	1982
119	37	Spanish Eyes	1966
120	37	Volare (Nel Blu Dipinto Di Blu)	1976
121	38	On The Border	1977
122	38	Year Of The Cat	1977
123	39	Blow Me Away	2008
124	39	Father & Friend	2008
125	39	Love Is Everywhere	2010
126	40	I Put A Spell On You	1966
127	40	Simon Smith & The Amazing Dancing Bear	1967
128	40	The House That Jack Built	1967
129	41	Faded	2016
130	42	Ironic	1996
131	42	Thank U	1998
132	42	Uninvited	1999
133	42	You Oughta Know	1996
134	43	Black Velvet	1990
135	44	I Don't Wanna Die In An Air Disaster	1974
136	44	I'm A Train	1974
137	44	It Never Rains In Southern California	1972
138	44	The Free Electric Band	1973
139	45	Luna	2000
140	46	Oh Lori	1977
141	47	To Make My Life Beautiful	1972
142	48	Guus	1975
143	48	I'll Never Drink Again	1972
144	49	Happiness	2011
145	50	I Treni Di Tozeur	1984
146	51	Elected	1972
147	51	Halo Of Flies	1973
148	51	Hello Hurray	1973
149	51	How You Gonna See Me Now	1979
150	51	Poison	1989
151	51	School's Out	1972
152	52	Rooster	1992
153	52	Would?	1992
154	53	Empire State Of Mind (part II) Broken Down	2009
155	53	Fallin'	2001
156	53	Girl On Fire	2012
157	53	If I Ain't Got You	2003
158	53	No One	2007
159	54	Hollywood Seven	1980
160	55	All Cried Out	1985
161	55	That Ole Devil Called Love	1985
162	56	Moi Lolita	2001
163	57	Never Ever	1997
164	58	I Swear	1994
165	59	Are You Sure	1961
166	60	Big In Japan	1984
167	60	Forever Young	1984
168	60	Sounds Like A Melody	1984
169	61	Wheelchair Groupie	1975
170	62	Pretend	1981
171	63	Uma Casa Portugesa	1956
172	64	Follow Me	1978
173	65	Beautiful Goodbye	1996
174	66	Gin House Blues	1967
175	66	If Paradise Is Half As Nice	1969
176	67	A Horse With No Name	1972
177	67	I Need You	1972
