id	nev	tipus	orszag	mukodo
1	Répcemicske	megállóhely	A	0
2	Bugac	kisvasúti állomás		0
3	Kereksziget	kisvasúti		0
4	Csemő felsőjárás	megállóhely		0
5	Bokod	megállóhely		0
6	Gölle	kisvasúti állomás		0
7	Körösnagyharsány régi	állomás		0
8	Balotaszállás	állomás		-1
9	Kocsord alsó	állomás		-1
10	Óbög	megállóhely		-1
11	Bogárzó	megállóhely		0
12	Hegyeshalom	állomás		-1
13	Tüskeszentpéter	megállóhely		0
14	Helvécia	állomás		0
15	Zichyújfalu	állomás		-1
16	Gyöngyösfalu	megállóhely		-1
17	Mártély	állomás		-1
18	Tarcsafürdő	megállóhely	A	0
19	Szalajka-Fátyol-vízesés	kisvasúti állomás		-1
20	Jászfényszaru	állomás		-1
21	Kishomok	megállóhely		0
22	Attilapuszta	kisvasúti megállóhely		0
23	Örményes gépállomás	kisvasúti		0
24	Nyíregyháza-Vásártér	kisvasúti megállóhely		0
25	Magyarsor	kisvasúti		0
26	Porva-Csesznek	állomás		-1
27	Petőfiszállási tanyák	megállóhely		-1
28	Érdliget	megállóhely		-1
29	Szombathely-Repülőtér	megállóhely		0
30	Süttő-Hársfa	kisvasúti		0
31	Árkipuszta	megállóhely		0
32	Nagyrezét	kisvasúti		-1
33	Kisszekeres	megállóhely		-1
34	Pusztaberény	megállóhely		-1
35	Szada alsó	megállóhely		0
36	Gubás	kisvasúti megállóhely		0
37	Bodajk felső	megállóhely		0
38	Alsósomlyó	megállóhely		0
39	Kevermesi tanyák	kisvasúti megállóhely		0
40	Belsőperegpuszta	megállóhely		-1
41	Alsógalla	megállóhely		-1
42	Sal	megállóhely	SLO	-1
43	Csépa	állomás		-1
44	Pusztaföldvár alsó	kisvasúti megállóhely		0
45	Bánk	állomás		0
46	Antalszállás	megállóhely		0
47	Boldogkőváralja	megállóhely		-1
48	Kocsord	megállóhely		-1
49	Tótkomlós	állomás		-1
50	Vértesacsa	állomás		0
51	Gógánfa	megállóhely		-1
52	Bojtártelek	kisvasúti megállóhely		0
53	Kinizsi u.	kisvasúti		0
54	Kórógyszentgyörgy	megállóhely		-1
55	Ják-Balogunyom	állomás		-1
56	Küngös	megállóhely		0
57	Gyökérkút	megállóhely		0
58	Kunhalom	kisvasúti állomás		0
59	Zugló	megállóhely		-1
60	Kemendollár	megállóhely		-1
61	Somogyszob	állomás		-1
62	Vashosszúfalu	állomás		0
63	Törtel megálló	kisvasúti megállóhely		0
64	Őrhalom régi	megállóhely		0
65	Kenderessziget	megállóhely		0
66	Badacsonyörs	megállóhely		-1
67	Solt	állomás		0
68	Kecskéd alsó	megállóhely		-1
69	Becske	állomás		0
70	Nyárjas	megállóhely		-1
71	Felcsút vasútállomás	kisvasúti állomás		-1
72	Orbánfalu	állomás	A	0
73	Sajókeresztúr	megállóhely		-1
74	Fertőszéplak-Fertőd	megállóhely		-1
75	Papírgyár	kisvasúti megállóhely		-1
76	Kisterenye	állomás		-1
77	Mándok	állomás		-1
78	Győr	teherpályaudvar		0
79	Madarászpuszta	állomás		0
80	Istvánháza	megállóhely		0
81	Felsőtárkány-Fűtőház	kisvasúti állomás		-1
82	Árpádtelep	kisvasúti állomás		0
83	Körtés	megállóhely	SRB	0
84	Rákoskert	megállóhely		-1
85	Máza-Szászvár	állomás		-1
86	Esztergom-Kertváros	állomás		-1
87	Neszmélyi téglagyár	megállóhely		0
88	Iklad-Domony	állomás		-1
89	Kőkútpuszta GV	kisvasúti megállóhely		0
90	Cibak	megállóhely		0
91	Kecskemét KK	kisvasúti állomás		0
92	Babó I.	kisvasúti		0
93	Alsóúrrét	megállóhely		-1
94	Jakabszállási tanyák	kisvasúti megállóhely		0
95	Öregcsertő	állomás		0
96	Lábatlan	állomás		-1
97	Devecser	állomás		-1
98	Újtelep (Szeghalom)	kisvasúti megállóhely		0
99	Orosháza	állomás		-1
100	Szörény	megállóhely		0
101	Miklósmajor	kisvasúti állomás		0
102	Rétszilas alsó	megállóhely		-1
103	Talián út	kisvasúti		0
104	Nemeske	megállóhely		-1
105	Vasszécseny	állomás		0
106	Jókai u.	kisvasúti		0
107	Őzedmajor	állomás		0
108	Jaksorpart	megállóhely		0
109	Sárszentmiklós	megállóhely		0
110	Börvely	állomás	RO	0
111	Zagyvarékas	megállóhely		-1
112	Gyöngyöshalász	megállóhely		-1
113	Becehegy	megállóhely		-1
114	Jánosháza	megálló-rakodóhely		-1
115	Érd felső	megállóhely		-1
116	Máriaszőlőtelep	megállóhely		-1
117	Mágori-majori rakodó	megálló-rakodóhely		0
118	Kardosrét	megállóhely		0
119	Gépállomás	kisvasúti		0
120	Szapárfalu középmajor	kisvasúti		0
121	Tiszaszabályozó Társulat	kisvasúti megállóhely		0
122	Miske	kisvasúti	RO	0
123	Égéri elágazás	kisvasúti állomás		0
124	Feketehalom	megállóhely		0
125	Csittényhegy	megállóhely		-1
126	Erenyő	kisvasúti megállóhely		0
127	Világospuszta	megállóhely		0
128	Debrecen-Kondoros	megállóhely		-1
129	Herceghalom	állomás		-1
130	Tiszajenő alsó	megállóhely		-1
131	Kisszénás	állomás		-1
132	Pusztatúrpásztó	állomás		0
133	Királyegyháza-Rigópuszta	megállóhely		-1
134	Bodrogkeresztúr	állomás		-1
135	Orosházi iskola	kisvasúti megállóhely		0
136	Gödöllő	állomás		-1
137	Csincse	megállóhely		-1
138	Sátoraljaújhely Torzsás	kisvasúti állomás		0
139	Zalapatakalja	megállóhely		-1
140	Pötréte	megállóhely		-1
141	Nekézseny	megállóhely		0
142	Kevermes	kisvasúti állomás		0
143	29. majori kiágazás	kisvasúti		0
144	Katymár	állomás		0
145	Kunszentmárton-Érpart	megállóhely		0
146	Bezdán	állomás	SRB	0
147	Kisirtás-Csúcsfordító	kisvasúti megállóhely		-1
148	Aszód	állomás		-1
149	Rácalmás	állomás		-1
150	Tornanádaska	állomás		-1
151	Rákóczitanya	megállóhely		-1
152	Center	teherpályaudvar		0
153	Csabaszabadi	kisvasúti állomás		0
154	Fenékpuszta	megállóhely		0
155	Pirtó	állomás		-1
156	Botykapeterd	megállóhely		0
157	Badacsony	megállóhely		-1
158	Kehida-Kustány	állomás		0
159	Izsák	állomás		0
160	Mór	állomás		-1
161	Vértesszőlős	megállóhely		-1
162	Nógrádkövesd	állomás		-1
163	Bodroghalász	kisvasúti megállóhely		0
164	Balsa	kisvasúti		0
165	Pusztakürt	állomás		0
166	Pusztacsalád	megállóhely		0
167	Pincehely	állomás		-1
168	Nagygyimót	megállóhely		0
169	Balatongyörök	megállóhely		-1
170	Siklós	állomás		0
171	Honvéderdő	kisvasúti megállóhely		0
172	Bakonysárkány	állomás		-1
173	Budapest-Józsefváros	állomás		0
174	Bashalom	megállóhely		-1
175	Taksalápa	állomás		0
176	Kassamindszent	megállóhely	SK	0
177	Feketeakol	kisvasúti		0
178	Árpád utca	kisvasúti megállóhely		0
179	Kaposvár	állomás		-1
180	Petőháza	állomás		-1
181	Nagykanizsa	állomás		-1
182	Tanakajd	megállóhely		0
183	Zsujta	megállóhely		-1
184	Józsa	megállóhely		-1
185	Sárbogárd	állomás		-1
186	Fegyvernek Tópart	kisvasúti		0
187	Litke	megállóhely		-1
188	Balassagyarmat	állomás		-1
189	Nyírmeggyes	megállóhely		-1
190	Zalavég	megállóhely		0
191	Máriagyűd	megállóhely		0
192	Nagyzomlin	megállóhely	RO	0
193	Kárászmegyer	kisvasúti megállóhely		0
194	Mosonszentandrás	állomás	A	-1
195	Vitézipuszta	megállóhely		0
196	Gilányi	kisvasúti		0
197	Nagybugac	kisvasúti megállóhely		0
198	Szepes	megállóhely		0
199	Kecskemét-Parasztfőiskola	megállóhely		0
200	Tállya	állomás		-1
201	Balatonfenyves alsó	megállóhely		-1
202	Oberwart Lokalbahn	megállóhely	A	0
203	Lentiszombathely-Mumor	kisvasúti megállóhely		-1
204	Őztelek	kisvasúti megállóhely		0
205	Szikszó	állomás		-1
206	Hártókút	kisvasúti állomás		-1
207	Petyeráktanya	kisvasúti megállóhely		-1
208	Pákozd	megállóhely		0
209	Sárosd	állomás		-1
210	Hernádszentandrás	megállóhely		0
211	Babócsa	állomás		-1
212	Gecse-Gyarmat	állomás		-1
213	Gencs	kisvasúti		0
214	Mikeccsárda	megállóhely		0
215	Elek	állomás		0
216	Csákánydoroszló	állomás		-1
217	Felsőőr	állomás	A	0
218	Kisdobsza	megállóhely		-1
219	Miskolc-Rendező pu.	teherpályaudvar		0
220	Berzence	állomás		-1
221	Miskolc-Repülőtér	megállóhely		0
222	Máriabesnyői kolostor	megállóhely		0
223	Berente	megállóhely		0
224	Kutas	megállóhely		-1
225	Ilona kanyar	kisvasúti		0
226	Golop	megállóhely		-1
227	Kadarkút	állomás		0
228	Páka	kisvasúti		-1
229	Fertőboz	állomás		-1
230	Tiszai út	megállóhely		0
231	Tab	állomás		-1
232	Zagyvapálfalva	állomás		-1
233	Füzesbokor	megállóhely		-1
234	Dombiratos felső	kisvasúti megállóhely		0
235	Esztergomi csavargőzös	megállóhely	SK	0
236	Horgosi Királyhalom	állomás	SRB	-1
237	Alsósegesd	megállóhely		0
238	Nádas-dűlő	kisvasúti megállóhely		0
239	Unghváry pince	megállóhely		0
240	Debrecen-Vásártér	állomás		0
241	Pokoltanya	megállóhely		0
242	Egervár	megállóhely		-1
243	Csillagtanya	megállóhely		0
244	Polgár	állomás		0
245	Kótaj	kisvasúti állomás		0
246	Pókaszepetk	állomás		-1
247	Balatonszentgyörgy	állomás		-1
248	Ludányi tanya	kisvasúti		0
