id	vonalid	allomasid	tav
1	30	2247	168
2	450a	1556	3
3	304	1720	5
4	305	1399	26
5	142	2392	28
6	924	158	19
7	422	561	58
8	436	2466	64
9	94	221	5
10	71	2058	8
11	80	2686	53
12	49	1731	58
13	112	737	37
14	109	2681	38
15	36	352	24
16	422	1946	0
17	151	787	41
18	945	2179	19
19	108	552	90
20	50	1492	1
21	125a	2468	12
22	318a	812	2
23	419	881	18
24	954	1589	35
25	130	1650	118
26	109	884	68
27	142	943	68
28	92	2455	50
29	77	1656	10
30	919	533	54
31	481a	1875	0
32	106	1660	36
33	113	2740	116
34	13	1877	89
35	934a	2829	10
36	418	596	11
37	94	73	9
38	456	1032	2
39	418	510	8
40	46	185	0
41	410	1988	20
42	49	922	83
43	150	278	22
44	424a	2787	6
45	92	1614	25
46	331	2054	0
47	81	2053	36
48	482	2630	25
49	422	348	31
50	492	1307	18
51	8	772	29
52	410	492	26
53	40	1559	20
54	319	2760	7
55	972	136	11
56	142	252	8
57	87a	1318	16
58	62	191	80
59	127	1334	90
60	945	603	6
61	422	1782	42
62	976	1571	21
63	331	1746	1
64	128	263	16
65	130	2587	74
66	150	373	37
67	483	1772	7
68	36	179	0
69	135	1946	97
70	2	1410	13
71	89	903	6
72	29	66	100
73	80	624	59
74	17	1754	49
75	339a	2770	14
76	480	2286	3
77	333	2477	22
78	10	559	39
79	914	844	29
80	488b	2622	15
81	86	1427	8
82	944	2418	7
83	16	853	92
84	349	2110	42
85	100b	514	43
86	16	1175	5
87	418	2409	0
88	61	2517	0
89	40	571	184
90	4	2071	19
91	120	1971	213
92	917	2822	6
93	418	2021	21
94	112	90	28
95	304	882	6
96	82	928	68
97	95	1893	5
98	455a	2346	5
99	40	1302	171
100	147	1191	76
101	36	1283	3
102	90	343	19
103	42	1039	25
104	128	2085	22
105	125	447	30
106	130	438	40
107	348	1615	45
108	41	224	59
109	108	628	36
110	108	1051	6
111	414	2004	6
112	966	2036	12
113	142	1046	78
114	80	137	156
115	972	777	10
116	455	996	15
117	486	1930	41
118	945	725	3
119	924	1547	22
120	150	269	50
121	43	633	16
122	88	696	21
123	92	221	5
124	482	1021	6
125	25	2289	8
126	958	1693	23
127	78	2098	29
128	116	818	41
129	420	2600	40
130	348	1691	20
131	81	1709	7
132	317	1208	3
133	348	25	12
134	35	1862	100
135	41	2502	20
136	488c	2309	14
137	135	273	22
138	114	923	24
139	130	928	0
140	948	403	0
141	70	1480	6
142	486	605	25
143	318a	207	2
145	1	2604	189
146	40	2152	222
147	25	2532	43
148	46	490	57
149	105	1633	15
150	408	229	0
151	80	2062	15
152	154	2412	2
153	116	1279	59
154	488a	1308	6
155	450a	2149	8
156	349	2773	52
157	43	2294	9
158	110	2559	58
159	109	2104	5
160	140	1072	111
161	967	521	13
162	80	686	30
163	324	1226	14
164	21	2186	52
165	956	1889	20
166	434	1026	4
167	455a	2332	13
168	151	2747	50
169	25	449	57
170	121	1317	8
171	484	1696	3
172	87a	1904	12
173	80	2369	140
174	928	369	1
175	422	654	14
176	488b	1629	3
177	140	619	64
178	1	2207	64
179	30	2356	36
180	80	2694	5
181	94	1068	20
182	331	457	17
183	125	2698	21
184	35	292	16
185	923	2826	24
186	422	1494	4
187	30	247	180
188	934	458	7
189	78	1578	100
190	37	2641	18
191	434	1703	22
192	71	2145	44
193	76	1303	0
194	47	1101	30
195	36	719	41
196	914	2513	45
197	956	1333	26
198	418	2430	32
199	325	1564	2
200	436	2434	31
201	17	1421	42
202	30	876	147
203	482	1839	24
204	20	97	93
205	305	2204	23
206	967	2746	26
207	906	1382	39
208	18	1112	15
209	102	964	55
210	146	888	24
211	30b	247	0
212	11	1387	38
213	120	1733	33
214	125	11	68
215	152	1644	19
216	45	185	39
217	130	1305	77
218	146	1488	21
219	331b	399	4
220	919	1557	24
221	969	978	16
222	117	808	56
223	145	2374	16
224	40	1372	127
225	15	1142	15
226	339b	1081	0
227	80	1540	101
228	87	599	68
229	78	1735	24
230	121	251	99
231	956	1497	15
232	40	2342	12
233	151	909	20
234	114	9	8
235	82	1667	52
236	22	326	0
237	87	2200	39
238	324	2763	17
239	98	226	15
240	128	2425	95
241	44	2494	30
242	35	1729	49
243	113	2183	0
244	41	965	17
245	414a	2328	20
246	916	2288	9
247	458c	2406	1
248	436	952	47
249	16	2248	70
250	458a	1768	2
251	911	287	11
252	921a	217	0
253	77	148	0
254	919	2081	12
255	12	2207	0
256	15	986	62
257	330	2044	2
258	20	986	169
259	29	1591	18
260	30	1778	71
261	917	491	2
262	966	79	8
263	150	2711	79
264	24	2462	6
265	921	1574	25
266	92	1193	23
267	483	119	1
268	10	1190	61
269	421	773	4
270	115	2741	34
271	107	532	16
272	102	2077	8
273	135	323	40
274	11	298	2
275	89	634	3
276	147	1505	52
277	422	2411	26
278	40	1062	194
279	153	2235	14
280	94	1837	11
281	434	1722	20
282	125	937	56
283	953	2833	29
284	128	822	105
285	155	1234	14
286	9	463	30
287	943	2357	4
288	420a	1189	3
289	13	1111	3
290	140	950	103
291	121	495	13
292	492	591	24
293	414	803	19
294	308	1004	7
295	150	870	32
296	470	2025	3
297	26	2046	6
298	324	318	8
299	11	1728	0
300	305	2596	20
301	424	774	22
302	459	2020	11
303	491	2297	7
304	480	2089	7
305	41	61	71
306	40	2583	16
307	155	1791	21
308	20	1713	65
309	120	2694	5
