id	kisvasut	mukodo
1	0	-1
10	0	-1
100	0	-1
100b	0	-1
100c	0	-1
101	0	-1
102	0	-1
103	0	-1
105	0	-1
106	0	-1
107	0	0
108	0	-1
109	0	-1
11	0	-1
110	0	-1
111	0	-1
112	0	0
113	0	-1
114	0	-1
115	0	-1
116	0	-1
117	0	0
12	0	-1
120	0	-1
121	0	-1
125	0	-1
125a	0	-1
126	0	0
127	0	-1
128	0	-1
13	0	0
130	0	-1
135	0	-1
136	0	0
14	0	-1
140	0	-1
142	0	-1
145	0	-1
146	0	-1
147	0	0
15	0	-1
150	0	-1
151	0	0
152	0	0
153	0	0
154	0	-1
155	0	0
16	0	-1
17	0	-1
18	0	-1
2	0	-1
20	0	-1
21	0	-1
22	0	-1
24	0	0
25	0	-1
26	0	-1
27	0	-1
29	0	-1
30	0	-1
304	-1	0
305	-1	0
307	-1	0
308	-1	0
308a	0	0
30b	0	0
310	-1	0
311	-1	0
313	-1	0
317	-1	0
317a	0	0
317b	0	0
318	-1	0
318a	0	0
319	-1	0
321	-1	0
323	-1	0
324	-1	0
325	-1	0
330	-1	0
331	-1	0
331a	0	0
331b	0	0
332	-1	0
333	-1	0
339	-1	0
339a	0	0
339b	0	0
348	-1	0
349	-1	0
35	0	0
36	0	0
37	0	0
38	0	0
4	0	-1
40	0	-1
401	-1	0
402	-1	0
406	-1	0
408	-1	0
41	0	-1
410	-1	0
412	-1	0
414	-1	0
414a	0	0
418	-1	0
419	-1	0
42	0	-1
420	-1	0
420a	0	0
421	-1	0
422	-1	0
424	-1	0
424a	0	0
43	0	-1
433	-1	0
434	-1	0
436	-1	0
437	-1	0
437a	0	0
44	0	-1
45	0	-1
450a	0	0
450b	0	0
451	-1	0
452	-1	0
453	-1	0
455	-1	0
455a	0	0
456	-1	0
458	-1	0
458a	0	0
458c	0	0
459	-1	0
46	0	-1
460	-1	0
462	-1	0
464	-1	0
465	-1	0
47	0	-1
470	-1	0
48	0	0
480	-1	0
481	-1	0
481a	0	0
482	-1	0
482a	0	0
483	-1	0
484	-1	0
486	-1	0
486a	0	0
488	-1	0
488a	0	0
488b	0	0
488c	0	0
49	0	0
490	-1	0
491	-1	0
492	-1	0
498	-1	0
5	0	-1
50	0	-1
60	0	-1
61	0	-1
62	0	0
64	0	0
65	0	-1
66	0	-1
70	0	-1
71	0	-1
75	0	-1
76	0	0
77	0	0
78	0	-1
8	0	-1
80	0	-1
81	0	-1
82	0	-1
83	0	0
85	0	-1
86	0	-1
87	0	-1
87a	0	-1
88	0	0
89	0	-1
9	0	-1
90	0	-1
903	0	-1
905	0	-1
906	0	-1
911	0	-1
914	0	-1
916	0	-1
917	0	-1
918	0	-1
919	0	-1
92	0	-1
921	0	-1
921a	0	0
922	0	-1
923	0	-1
924	0	-1
927	0	-1
928	0	-1
929	0	-1
934	0	-1
934a	0	0
935a	0	0
94	0	-1
943	0	-1
944	0	-1
945	0	-1
948	0	-1
95	0	0
953	0	-1
954	0	-1
956	0	-1
958	0	-1
961a	0	0
962	0	-1
963	0	-1
963a	0	0
966	0	-1
967	0	-1
968	0	-1
969	0	-1
972	0	-1
974	0	-1
976	0	-1
977	0	-1
98	0	-1
