id	kategoria	nev	igid	terulet
1	NP	Aggteleki Nemzeti Park 	1	20200,1
2	NP	Balaton-felvidéki Nemzeti Park 	2	59370,5
3	NP	Bükki Nemzeti Park 	3	42283,4
4	NP	Duna–Dráva Nemzeti Park 	4	49751,6
5	NP	Duna–Ipoly Nemzeti Park 	5	60676,0
6	NP	Fertő–Hanság Nemzeti Park 	6	23744,4
7	NP	Hortobágyi Nemzeti Park 	7	80957,2
8	NP	Kiskunsági Nemzeti Park 	8	50640,9
9	NP	Körös–Maros Nemzeti Park 	9	50940,6
10	NP	Őrségi Nemzeti Park 	10	44061,4
11	TK	Bihari-sík Tájvédelmi Körzet 	7	17140,8
12	TK	Boronka-melléki Tájvédelmi Körzet 	4	8502,7
13	TK	Borsodi-Mezőség Tájvédelmi Körzet 	3	18402,7
14	TK	Budai Tájvédelmi Körzet 	5	10501,0
15	TK	Dél-Mezőföldi Tájvédelmi Körzet 	4	7714,7
16	TK	Gerecsei Tájvédelmi Körzet 	5	8676,3
17	TK	Gödöllői Dombvidék Tájvédelmi Körzet 	5	11478,4
18	TK	Hajdúsági Tájvédelmi Körzet 	7	7068,7
19	TK	Hevesi Füves Puszták Tájvédelmi Körzet 	3	16123,5
20	TK	Hollókői Tájvédelmi Körzet 	3	149,5
21	TK	Karancs–Medves Tájvédelmi Körzet 	3	6657,2
22	TK	Kelet-cserháti Tájvédelmi Körzet 	3	7359,8
23	TK	Kelet-Mecsek Tájvédelmi Körzet 	4	9358,6
24	TK	Kesznyéteni Tájvédelmi Körzet 	3	5853,5
25	TK	Kőszegi Tájvédelmi Körzet 	10	4370,7
26	TK	Közép-tiszai Tájvédelmi Körzet 	7	9338,5
27	TK	Lázbérci Tájvédelmi Körzet 	3	3734,8
28	TK	Magas-bakonyi Tájvédelmi Körzet 	2	8732,1
29	TK	Mártélyi Tájvédelmi Körzet 	8	2196,0
30	TK	Mátrai Tájvédelmi Körzet 	3	12393,8
31	TK	Mura-menti Tájvédelmi Körzet 	2	1904,1
32	TK	Nyugat-Mecsek Tájvédelmi Körzet 	4	10340,1
33	TK	Ócsai Tájvédelmi Körzet 	5	3645,3
34	TK	Pannonhalmi Tájvédelmi Körzet 	6	8271,5
35	TK	Pusztaszeri Tájvédelmi Körzet 	8	22327,8
36	TK	Sághegyi Tájvédelmi Körzet 	10	238,2
37	TK	Sárréti Tájvédelmi Körzet 	5	2214,4
38	TK	Sárvíz-völgye Tájvédelmi Körzet 	5	3479,7
39	TK	Somló Tájvédelmi Körzet 	2	568,5
40	TK	Soproni Tájvédelmi Körzet 	6	4890,7
41	TK	Szatmár-beregi Tájvédelmi Körzet 	7	22005,6
42	TK	Szigetközi Tájvédelmi Körzet 	6	9679,2
43	TK	Tápió-Hajta Vidéke Tájvédelmi Körzet 	5	4128,0
44	TK	Tarnavidéki Tájvédelmi Körzet 	3	9495,2
45	TK	Tokaj–Bodrogzug Tájvédelmi Körzet 	1	5286,1
46	TK	Vértesi Tájvédelmi Körzet 	5	15209,6
47	TK	Zempléni Tájvédelmi Körzet 	1	26765,4
48	TK	Zselici Tájvédelmi Körzet 	4	8289,1
49	TT	Abaújkéri Aranyos-völgy Természetvédelmi Terület 	1	160,1
50	TT	Adonyi Természetvédelmi Terület 	5	1,0
51	TT	Alcsúti arborétum Természetvédelmi Terület 	5	40,3
52	TT	Ásotthalmi láprét Természetvédelmi Terület 	8	87,4
53	TT	Attyai-láprét Természetvédelmi Terület 	2	14,8
54	TT	Babócsai Basa-kert Természetvédelmi Terület 	4	12,6
55	TT	Bácsalmási Gyapjas Gyűszűvirág Termőhelye Természetvédelmi Terület 	8	3,9
56	TT	Bakonygyepesi zergebogláros Természetvédelmi Terület 	2	24,0
57	TT	Baktalórántházai-erdő Természetvédelmi Terület 	7	309,4
58	TT	Baláta-tó Természetvédelmi Terület 	4	447,5
59	TT	Balatonfüredi-erdő Természetvédelmi Terület 	2	869,0
60	TT	Balatonkenesei-tátorjános Természetvédelmi Terület 	2	2,5
61	TT	Bátorligeti-legelő Természetvédelmi Terület 	7	23,4
62	TT	Bátorligeti-ősláp Természetvédelmi Terület 	7	52,7
63	TT	Belsőbárándi-tátorjános Természetvédelmi Terület 	5	49,7
64	TT	Bécsi-domb Természetvédelmi Terület 	6	7,9
65	TT	Bél-kő Természetvédelmi Terület 	3	97,5
66	TT	Bihari-legelő Természetvédelmi Terület 	7	771,5
67	TT	Bodrogszegi Várhegy Természetvédelmi Terület 	1	1,6
68	TT	Bölcskei-nőszirmos Természetvédelmi Terület 	4	111,2
69	TT	Budai Sas-hegy Természetvédelmi Terület 	5	29,7
70	TT	Budakalászi Kemotaxonómiai Botanikus Kert Természetvédelmi Terület 	5	4,2
71	TT	Budapesti botanikus kert Természetvédelmi Terület 	5	2,7
72	TT	Bükkhát Természetvédelmi Terület 	4	452,2
73	TT	Cégénydányádi-park Természetvédelmi Terület 	7	12,9
74	TT	Ceglédi-rét Természetvédelmi Terület 	5	16,4
75	TT	Császártöltési Vörös mocsár Természetvédelmi Terület 	8	930,3
76	TT	Csévharaszti-borókás Természetvédelmi Terület 	5	131,7
77	TT	Csokonyavisontai fás legelő Természetvédelmi Terület 	4	433,1
78	TT	Csólyospálosi földtani feltárás Természetvédelmi Terület 	8	1,2
79	TT	Csombárdi-rét Természetvédelmi Terület 	4	53,4
80	TT	Csongrádi Kónyaszék Természetvédelmi Terület 	8	451,1
81	TT	Dabasi-turjános Természetvédelmi Terület 	5	146,5
82	TT	Darvas-tó lefejtett bauxitlencse Természetvédelmi Terület 	2	34,4
83	TT	Dávodi Földvári tó Természetvédelmi Terület 	4	74,3
84	TT	Debreceni Nagyerdő Természetvédelmi Terület 	7	1104,3
85	TT	Dénesmajori Csigás-erdő Természetvédelmi Terület 	9	5,2
86	TT	Devecseri Széki-erdő Természetvédelmi Terület 	2	297,3
