ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
1985	14	Egyesült Királyság	angol	Vikki	Love Is	A szerelem...	4	100
1988	8	Izrael	héber	Yardena Arazi	Ben Adam	Emberi lény	7	85
1972	13	Jugoszlávia	szerbhorvát	Tereza Kesovija	Muzika i ti	A zene és Te	9	87
1993	8	Málta	angol	William Mangion	This Time	Ez alkalommal	8	69
1989	2	Izrael	héber	Gili és Galit	Derech hamelech	A király útja	12	50
1996	4	Portugália	portugál	Lúcia Moniz	O meu coração não tem cor	A szívemnek nincsen színe	6	92
2004	16	Görögország	angol	Sakis Rouvas	Shake It	Rázzad	3	252
1975	10	Málta	angol	Renato	Singing This Song	Énekelni e dalt	12	32
2003	11	Oroszország	orosz	t.A.T.u.	Ne ver', ne boysia	Ne higgy, ne félj!	3	164
1969	10	Belgium	holland	Louis Neefs	Jennifer Jennings	—	7	10
2011	1	Finnország	angol	Paradise Oskar	Da da dam	—	21	57
2011	13	Svájc	angol	Anna Rossinelli	In Love for a While	Egy ideig szerelmesen	25	19
1990	2	Görögország	görög	Christos Callow & Wave	Horísz szkopó	Céltalanul	19	11
1972	2	Franciaország	francia	Betty Mars	Comé-comédie	Komé-komédia	11	81
1978	11	Hollandia	holland	Harmony	't Is OK	Rendben van	13	37
1978	9	Svájc	francia	Carole Vinci	Vivre	Élni	9	65
2007	4	Írország	angol	Dervish	They Can't Stop The Spring	Nem tudják megállítani a tavaszt	24	5
1967	6	Svájc	francia	Géraldine	Quel cœur vas-tu briser?	Kinek a szívét fogod összetörni?	17	0
1978	19	Ausztria	német	Springtime	Mrs. Caroline Robinson	—	15	14
2004	23	Románia	angol	Sanda	I Admit	Bevallom	18	18
1995	17	Ciprus	görög	Alexandros Panayi	Sti fotia	A tűzben	9	79
1998	19	Svédország	svéd	Jill Johnson	Kärleken är	A szerelem...	10	53
1975	4	Németország	német, angol	Joy Fleming	Ein Lied kann eine Brücke sein	Híd lehet egy dal	17	15
2009	6	Portugália	portugál	Flor-de-lis	Todas as ruas do amor	A szerelem minden utcája	15	57
1988	3	Finnország	finn	Boulevard	Nauravat silmät muistetaan	A nevető szemekre emlékeznek	20	3
2006	19	Franciaország	francia	Virginie Pouchain	Il était temps	Ideje volt	22	5
1975	13	Törökország	török	Semiha Yankı	Seninle Bir Dakika	Egy perc veled	19	3
1991	14	Norvégia	norvég	Just 4 Fun	Mrs. Thompson	Thompsonné	17	14
1976	4	Izrael	héber	Chocolate Menta Mastik	Emor Salom	Köszönj	6	77
1982	17	Írország	angol	The Duskeys	Here Today Gone Tomorrow	Ma itt, holnap máshol	11	49
1986	19	Finnország	finn	Kari Kuivalainen	Never The End	Sosem ér véget	15	22
2003	4	Törökország	angol	Sertab Erener	Everyway That I Can	Mindenféleképpen	1	167
1996	11	Észtország	észt	Maarja-Liis Ilus és Ivo Linna	Kaelakee hääl	Nyaklánc hangja	5	94
2000	6	Románia	angol	Taxi	The Moon	A hold	17	25
2008	5	Örményország	angol, örmény	Sirusho	Qele qele	Gyere, gyere	4	199
1998	6	Szlovákia	szlovák	Katarína Hasprová	Modlitba	Imádság	21	8
2000	2	Hollandia	angol	Linda	No Goodbyes	Nincs búcsúzás	13	40
1989	13	Ausztria	német	Thomas Forstner	Nur ein Lied	Csak egy dal	5	97
2007	20	Románia	angol, olasz, spanyol, orosz, francia, román	Todomondo	Liubi, Liubi, I Love You	Szerelem, szerelem, szeretlek	13	84
1976	14	Ausztria	angol	Waterloo és Robinson	My Little World	Az én kis világom	5	80
1990	1	Spanyolország	spanyol	Azúcar Moreno	Bandido	Bandita	5	96
2007	21	Bulgária	bolgár	Elitsa Todorova és Stoyan Yankulov	Water	Víz	5	157
1975	3	Franciaország	francia	Nicole Rieu	Et bonjour à toi l'artiste	Jó napot neked, művész	4	91
1985	11	Izrael	héber	Izhar Cohen	Olé, Olé	Fel, fel	5	93
2008	15	Svédország	angol	Charlotte Perrelli	Hero	Hős	18	47
2002	3	Ausztria	angol	Manuel Ortega	Say a Word	Mondj egy szót	18	26
1979	14	Hollandia	holland	Xandra	Colorado	Colorado	12	51
1963	13	Svédország	svéd	Monica Zetterlund	En gång i Stockholm	Egyszer Stockholmban	13	0
1962	8	Hollandia	holland	De Spelbrekers	Katinka	—	13	0
1968	3	Belgium	francia	Claude Lombard	Quand tu reviendras	Amikor visszajössz	7	8
2011	5	Magyarország	angol, magyar	Wolf Kati	What About My Dreams?	Mi van az álmaimmal?	22	53
1988	16	Belgium	francia	Reynaert	Laissez briller le soleil	Hadd süssön a Nap	18	5
1991	11	Írország	angol	Kim Jackson	Could It Be That I'm In Love	Lehet, hogy szerelmes vagyok?	10	47
1969	5	Írország	angol	Muriel Day	The Wages of Love	A szerelem ára	7	10
