vizsgázó évfolyama	vizsgázó képzési típusa	vizsgázó neme	érdemjegy	össz százalék	össz pontszám	szövegértés	szövegalkotás: tartalmi minőség	szövegalkotás: szerkezet, felépítés	szövegalkotás: nyelvi minőség	levonás helyesírási hibák miatt (max.)	levonás íráskép miatt (max.)	írásbeli pontszám	nyelvi, irodalmi tételkifejtés: tartalom	nyelvi, irodalmi tételkifejtés: előadásmód	szóbeli pontszám		maximális pont írásbeli	maximális pont szóbeli		Százalék	Érdemjegy
12	szakközép	férfi				37	16	20	19	-5	0	87	17	16	33		100	50		0	1
12	szakközép	férfi				34	8	8	8	-4	-1	53	8	8	16					0,25	2
12	szakközép	férfi				28	7	9	7	-7	-1	43	8	10	18					0,4	3
12	szakközép	férfi				31	5	5	7	-6	-1	41	18	20	38					0,6	4
12	szakközép	férfi				35	14	14	8	-4	-1	66	3	4	7					0,8	5
12	szakközép	nő				32	4	8	8	-15	0	37	7	8	15						
12	szakközép	férfi				36	12	14	12	-4	0	70	25	25	50						
12	szakközép	férfi				30	8	10	8	-5	-1	50	21	20	41			Létszám	Átlag	Legjobb	
12	szakközép	férfi				31	10	10	8	-15	-1	43	7	8	15		szakközép				
12	szakközép	férfi				35	1	3	14	-15	0	38	20	20	40		gimnázium				
12	szakközép	férfi				25	1	3	10	-15	0	24	7	7	14						
12	szakközép	férfi				32	8	12	12	-5	0	59	12	10	22						
12	szakközép	férfi				39	18	17	18	-4	0	88	17	16	33			férfi	nő		
12	szakközép	férfi				28	9	6	10	0	0	53	20	20	40		1				
12	szakközép	férfi				33	10	10	8	-4	-1	56	7	7	14		2				
12	szakközép	férfi				37	4	8	10	-4	0	55	3	4	7		3				
12	szakközép	férfi				27	5	6	5	-15	-1	27	11	11	22		4				
13	szakközép	férfi				27	1	4	9	-9	0	32	3	4	7		5				
13	szakközép	férfi				27	10	10	14	-15	0	46	10	14	24						
13	szakközép	férfi				31	8	10	12	-7	-2	52	6	6	12						
13	szakközép	férfi				33	18	20	20	-7	0	84	15	15	30						
13	szakközép	férfi				34	4	4	8	-7	-1	42	3	4	7						
13	szakközép	férfi				32	8	8	8	-3	0	53	4	4	8						
13	szakközép	férfi				37	14	15	15	-9	0	72	25	23	48						
13	szakközép	férfi				31	9	8	10	-1	0	57	3	4	7						
13	szakközép	férfi				37	4	8	14	-10	-1	52	15	15	30						
13	szakközép	férfi				32	12	10	13	-5	-1	61	7	7	14						
13	szakközép	férfi				29	2	3	9	-5	-1	37	3	4	7						
13	szakközép	férfi				33	4	4	10	-4	-2	45	10	6	16						
13	szakközép	férfi				39	18	20	19	-2	0	94	18	20	38						
13	szakközép	férfi				35	9	10	10	-15	0	49	20	22	42						
12	szakközép	férfi				35	17	20	20	-4	0	88	25	25	50						
12	szakközép	férfi				34	2	3	3	-15	0	27	23	21	44						
12	szakközép	férfi				32	12	14	14	-3	0	69	24	25	49						
12	szakközép	férfi				36	7	10	12	-15	-2	48	16	14	30						
12	szakközép	férfi				35	13	14	14	-11	0	65	12	14	26						
12	szakközép	férfi				39	10	9	10	-11	0	57	22	23	45						
12	szakközép	férfi				38	14	14	15	-2	0	79	25	25	50						
12	szakközép	férfi				35	13	14	15	-1	0	76	20	24	44						
12	szakközép	férfi				29	8	9	8	-7	0	47	8	8	16						
12	szakközép	férfi				36	1	1	1	-15	0	24	10	14	24						
12	szakközép	férfi				36	13	13	13	-7	0	68	25	25	50						
12	szakközép	férfi				39	12	13	11	-5	0	70	25	25	50						
12	szakközép	férfi				35	10	12	12	-2	0	67	25	25	50						
12	szakközép	férfi				35	13	15	15	-9	0	69	22	25	47						
12	szakközép	férfi				36	10	10	10	-12	0	54	19	22	41						
12	szakközép	férfi				27	3	4	4	-10	0	28	14	18	32						
12	szakközép	férfi				28	2	4	4	-15	0	23	17	20	37						
12	szakközép	férfi				37	15	18	18	-4	0	84	25	25	50						
12	szakközép	férfi				30	5	7	7	-2	0	47	14	15	29						
12	szakközép	férfi				34	5	8	8	-8	-1	46	12	13	25						
12	szakközép	férfi				34	15	16	17	-15	0	67	9	14	23						
12	szakközép	férfi				35	10	9	8	-15	-1	46	17	14	31						
12	szakközép	férfi				38	3	5	4	-12	-2	36	15	22	37						
12	szakközép	férfi				35	9	11	12	-15	0	52	20	22	42						
12	szakközép	férfi				40	15	15	17	-6	0	81	24	25	49						
12	szakközép	férfi				37	2	5	3	-7	0	40	10	11	21						
12	szakközép	férfi				34	8	8	12	-6	0	56	6	6	12						
12	szakközép	férfi				22	1	3	3	-12	-1	16	8	8	16						
12	szakközép	férfi				39	6	9	8	-15	0	47	16	17	33						
