eloadoid	nev	zenekar
1	10CC	1
2	1910 Fruitgum Company	1
3	2 Brothers On The 4th Floor	1
4	2 Unlimited	1
5	2Pac ft. Dr. Dre	0
6	3 Doors Down	1
7	30 SECONDS TO MARS	1
8	3JS	1
9	4 Non Blondes	1
10	5 Seconds of Summer	1
11	5000 Volts	1
12	A Balladeer	1
13	ABBA	1
14	ABC	1
15	Abel	1
16	AC/DC	1
17	Acda en De Munnik	1
18	Ace	1
19	Ace of Base	1
20	Adam & the Ants	1
21	Adam Lambert	0
22	Adamo	0
23	Adele	0
24	Adiemus	0
25	Adriano Celentano	0
26	Aerosmith	1
27	Afric Simone	0
28	After Tea	1
29	Agnes Obel	0
30	Agnetha Fältskog	0
31	A-Ha	1
32	Air	0
33	Air Bubble	1
34	Air Supply	1
35	Al Green	0
36	Al Jarreau	0
37	Al Martino	0
38	Al Stewart	0
39	Alain Clark	0
40	Alan Price	0
41	Alan Walker	0
42	Alanis Morissette	0
43	Alannah Myles	0
44	Albert Hammond	0
45	Alessandro Safina	0
46	Alessi Brothers	1
47	Alex Harvey	0
48	Alexander Curly	0
49	Alexis Jordan	0
50	Alice & Battiato	1
51	Alice Cooper	0
52	Alice in Chains	1
53	Alicia Keys	0
54	Alides Hidding	0
55	Alison Moyet	0
56	Alizee	0
57	All Saints	1
58	All-4-One	1
59	Allisons	1
60	Alphaville	1
61	Alquin	1
62	Alvin Stardust	0
63	Amalia Rodrigues	0
64	Amanda Lear	0
65	Amanda Marshall	0
66	Amen Corner	1
67	America	1
68	American Breed	1
69	Amii Stewart	0
70	Amy Macdonald	0
71	Amy Winehouse	0
72	Anastacia	0
73	André Hazes	0
74	André Hazes Jr.	0
75	Andre Rieu	0
76	André van Duin	0
77	Andrea Bocelli	0
78	Andrew Gold	0
79	Andy Kim	0
80	Andy Williams	0
81	Animals & Eric Burdon	1
82	Anita Garbo	0
83	Anita Meyer	1
84	Anita Ward	1
85	Anna & Kate McGarrigle	1
86	Anne Marie David	0
87	Anne Murray	0
88	Anneke Grönloh	0
89	Annie Lennox	0
90	Annie Lennox & Al Green	0
91	Anouk	0
92	Anouk ft Douwe Bob	0
93	Aphrodite's Child	1
94	Arcade Fire	1
95	Arctic Monkeys	1
96	Aretha Franklin	0
97	Argent	1
98	Arjan Brass	0
99	Arlo Guthrie	0
100	Armand	0
101	Armin van Buuren feat. Kensington	0
102	Armin van Buuren feat. Trevor Guthrie	0
103	Armin van Buuren ft. Josh Cumbee	0
104	Arne Jansen	0
105	Art Garfunkel	0
106	Art Sullivan & Kiki	0
107	Arthur Brown	0
108	Arthur Conley	0
109	Ashford & Simpson	1
110	Associates	1
111	Astrid Nijgh	0
112	Astrud Gilberto	0
113	Atomic Kitten	1
114	Average White Band	1
115	Avicii	0
116	Avicii feat. Aloe Blacc	0
117	Avicii feat. Robbie Williams	0
118	Axis	1
119	Axwell & Ingrosso	1
120	B.B. King	0
121	Baccara	1
122	Bachman-Turner Overdrive	1
123	Backstreet Boys	1
124	Bad Company	1
125	Bad English ft. John Waite	1
126	Bananarama	1
127	Band Aid	1
128	Bangles	1
129	BAP	1
130	Bar Kays	1
131	Barbra Streisand	0
132	Barbra Streisand & Neil Diamond	0
133	Barclay James Harvest	1
134	Barry & Eileen	1
135	Barry Manilow	0
136	Barry McGuire	0
137	Barry Ryan	0
138	Barry White	0
139	Bastille	1
140	Baz Luhrman	0
141	Beastie Boys	1
142	Beck	0
143	Bee Gees	1
144	Belinda Carlisle	0
145	Ben Cramer	0
146	Ben E. King	0
