id	nev
1	Aba
2	Abaliget
3	Abasár
4	Abaújkér
5	Ábrahámhegy
6	Adony
7	Ágasegyháza
8	Ágfalva
9	Aggtelek
10	Agostyán
11	Ajka
12	Akasztó
13	Alcsútdoboz
14	Algyő
15	Álmosd
16	Alsóberecki
17	Alsóörs
18	Alsószentiván
19	Alsószentmárton
20	Alsószölnök
21	Alsótold
22	Ambrózfalva
23	Andornaktálya
24	Apaj
25	Apátfalva
26	Apátistvánfalva
27	Apátvarasd
28	Arka
29	Arló
30	Ároktő
31	Ásotthalom
32	Ásványráró
33	Aszófő
34	Átány
35	Babócsa
36	Bácsalmás
37	Badacsonytomaj
38	Badacsonytördemic
39	Bag
40	Bagamér
41	Baj
42	Baja
43	Bajánsenye
44	Bakonszeg
45	Bakonya
46	Bakonybél
47	Bakonyjákó
48	Bakonypéterd
49	Bakonyszentlászló
50	Bakonyszűcs
51	Baks
52	Baktalórántháza
53	Balassagyarmat
54	Balatonakali
55	Balatonalmádi
56	Balatonberény
57	Balatoncsicsó
58	Balatonederics
59	Balatonfenyves
60	Balatonfüred
61	Balatongyörök
62	Balatonhenye
63	Balatonkenese
64	Balatonmagyaród
65	Balatonrendes
66	Balatonszentgyörgy
67	Balatonszepezd
68	Balatonszőlős
69	Balatonudvari
70	Balmazújváros
71	Bánhorváti
72	Bár
73	Barabás
74	Báránd
75	Baranyahídvég
76	Barbacs
77	Barcs
78	Bárdudvarnok
79	Bárna
80	Barnag
81	Báta
82	Bátmonostor
83	Bátonyterenye
84	Bátorliget
85	Battonya
86	Bedő
87	Békéssámson
88	Békésszentandrás
89	Bélapátfalva
90	Bélavár
91	Bélmegyer
92	Beregdaróc
93	Beregsurány
94	Berekböszörmény
95	Berettyóújfalu
96	Bernecebaráti
97	Berzence
98	Besenyőtelek
99	Besenyszög
100	Bezenye
101	Biharkeresztes
102	Biharugra
103	Bikács
104	Boconád
105	Bócsa
106	Boda
107	Bodmér
108	Bodrogkeresztúr
109	Bodrogkisfalud
110	Bódvarákó
111	Bódvaszilas
112	Bogyiszló
113	Bojt
114	Boldogkőváralja
115	Bolhó
116	Borsodbóta
117	Borsodszentgyörgy
118	Borsosberény
119	Botpalád
120	Bozsok
121	Bózsva
122	Böhönye
123	Bölcske
124	Bőny
125	Bősárkány
126	Bőszénfa
127	Bucsa
128	Budajenő
129	Budakalász
130	Budakeszi
131	Budaörs
132	Budapest
133	Bugac
134	Bugacpusztaháza
135	Buják
136	Buzsák
137	Bükkösd
138	Bükkszenterzsébet
139	Bükkszentkereszt
140	Bükkzsérc
141	Bürüs
142	Cák
143	Cece
144	Cégénydányád
145	Cegléd
146	Celldömölk
147	Cibakháza
148	Cún
149	Csabrendek
150	Csáfordjánosfa
151	Csaholc
152	Csákánydoroszló
153	Csákberény
154	Csákvár
155	Csanádpalota
156	Csanytelek
157	Csárdaszállás
158	Csaroda
159	Császártöltés
160	Csataszög
161	Csengele
162	Csengőd
163	Cserépfalu
164	Cserépváralja
165	Cserhátszentiván
166	Cserkút
167	Csernely
168	Cserszegtomaj
169	Csévharaszt
170	Csobánka
171	Csókakő
172	Csokonyavisonta
173	Csólyospálos
174	Csongrád
175	Csopak
176	Csór
177	Csorna
178	Csorvás
179	Csöde
180	Csökmő
181	Csörötnek
182	Csősz
183	Csurgó
184	Dabas
185	Dány
186	Daraboshegy
187	Darány
188	Darvas
189	Dávod
190	Debrecen
191	Decs
192	Dédestapolcsány
193	Dejtár
194	Derecske
195	Dévaványa
196	Devecser
197	Diósjenő
198	Doba
199	Dóc
200	Domaháza
201	Domony
202	Domoszló
203	Dormánd
204	Dömös
205	Dörgicse
206	Drávacsehi
207	Drávagárdony
208	Drávakeresztúr
209	Drávapalkonya
210	Drávaszabolcs
211	Drávasztára
212	Drávatamási
213	Drégelypalánk
214	Dunaalmás
215	Dunabogdány
216	Dunafalva
217	Dunaföldvár
218	Dunakiliti
219	Dunapataj
220	Dunaremete
221	Dunaszeg
222	Dunaszekcső
223	Dunaszentmiklós
224	Dunaszentpál
225	Dunasziget
226	Dunavarsány
227	Écs
228	Ecseg
229	Ecsegfalva
230	Edelény
231	Eger
232	Égerszög
233	Egyek
234	Érd
235	Erdőbénye
236	Erdőtelek
237	Erk
238	Érsekcsanád
239	Érsekhalma
240	Esztár
241	Esztergályhorváti
242	Esztergom
243	Fábiánsebestyén
244	Fajsz
245	Farmos
246	Fegyvernek
247	Fehérgyarmat
248	Fehértó
249	Feketeerdő
250	Felgyő
251	Felpéc
252	Felsőjánosfa
253	Felsőmarác
254	Felsőszenterzsébet
255	Felsőszentmárton
256	Felsőszölnök
257	Felsőtárkány
258	Felsőtelekes
259	Felsőtold
260	Fenyőfő
261	Fertőboz
262	Fertőhomok
263	Fertőrákos
264	Fertőszéplak
265	Folyás
266	Fony
267	Fót
268	Földes
269	Főnyed
270	Furta
271	Fülesd
272	Fülöpháza
273	Fülöpszállás
274	Füzér
275	Füzérradvány
276	Füzesabony
277	Füzesgyarmat
278	Galambok
279	Gánt
280	Garáb
281	Garabonc
282	Garbolc
283	Gárdony
284	Gasztony
285	Gávavencsellő
286	Gelej
287	Gelénes
288	Geszt
289	Gibárt
290	Gic
291	Gomba
292	Gordisa
293	Göd
294	Gödöllő
295	Gönc
296	Göncruszka
297	Gönyü
298	Görbeháza
299	Gulács
300	Gyékényes
301	Gyenesdiás
302	Gyomaendrőd
303	Gyöngyös
304	Gyöngyössolymos
305	Győr
